"";"";"";"";"estudante";""
"1";"estudante";"-1.57942870698021";"0.469720136789778";"1.17800754840429";"23"
"2";"promover";"-1.61796193601591";"0.246276481362758";"1.08468934015073";"41"
"3";"profissional";"-1.45426844253322";"0.0399423296160305";"1.00356277412945";"64"
"4";"positivo";"-1.99608704548302";"0.110191234901294";"0.960410558073037";"85"
"5";"acontecer";"-2.32748984370937";"0.451832723419474";"0.958791225434366";"86"
"6";"didático";"-1.48339246208214";"0.705639740670479";"0.957565064094797";"87"
"7";"ensinar";"-2.11845969149422";"0.24791792329714";"0.949161860566554";"94"
"8";"melhorar";"-1.85568132370275";"0.165635166435353";"0.933091816705843";"105"
"9";"habilidade";"-1.67962284230717";"0.24267494942139";"0.93241209683282";"107"
"10";"criança";"-1.72433595011956";"0.171787217100462";"0.928510371483268";"111"
"11";"contribuir";"-0.925987967663889";"-0.0226785045356461";"0.928280466232098";"112"
"12";"capacitar";"-2.29464777045273";"0.471649451273072";"0.927010989410425";"113"
"13";"inicial";"-1.59041066401548";"0.42718856779167";"0.925011813313301";"114"
"14";"básico";"-1.48039160071815";"0.238168068338627";"0.921233370489738";"117"
"15";"aplicativo";"-1.70981867268758";"0.539090016544509";"0.918864346814646";"121"
"16";"line";"-1.58514305031758";"0.371692803165428";"0.909551518162212";"137"
"17";"enfatizar";"-1.7583560022985";"0.135160071301358";"0.903414047544043";"147"
"18";"objetivação";"-2.47856338068995";"0.360675775292922";"0.901194962076235";"152"
"19";"continuar";"-1.80959763589261";"0.21804889177479";"0.899798870768411";"159"
"20";"ressaltar";"-2.02273469201451";"-0.0243645879201066";"0.899525650035137";"160"
"21";"edição";"1.46611403999807";"1.82249361150878";"0.89342816293891";"167"
"22";"resumo";"0.944220237354217";"1.06027182755005";"0.887010807667143";"173"
"23";"digitalização";"1.17365353128238";"1.75199134377401";"0.884801718079822";"181"
"24";"desinformação";"0.963852796490213";"-2.13877777314785";"0.853358010032229";"229"
