"";"X";"V1"
"1";1;2
"2";2;3
"3";3;3
"4";4;3
"5";5;2
"6";6;3
"7";7;3
"8";8;2
"9";9;2
"10";10;3
"11";11;2
"12";12;2
"13";13;2
"14";14;2
"15";15;2
"16";16;2
"17";17;2
"18";18;2
"19";19;2
"20";20;3
"21";21;2
"22";22;2
"23";23;2
"24";24;3
"25";25;3
"26";26;2
"27";27;2
"28";28;3
"29";29;2
"30";30;3
"31";31;2
"32";32;3
"33";33;1
"34";34;2
"35";35;2
"36";36;2
"37";37;2
"38";38;2
"39";39;2
"40";40;1
"41";41;2
"42";42;2
"43";43;1
"44";44;2
"45";45;2
"46";46;3
"47";47;2
"48";48;1
"49";49;2
"50";50;2
"51";51;3
"52";52;3
"53";53;0
"54";54;3
"55";55;3
"56";56;2
"57";57;2
"58";58;2
"59";59;2
"60";60;2
"61";61;3
"62";62;3
"63";63;2
"64";64;1
"65";65;2
"66";66;2
"67";67;2
"68";68;2
"69";69;2
"70";70;2
"71";71;2
"72";72;1
"73";73;1
"74";74;1
"75";75;0
"76";76;2
"77";77;3
"78";78;3
"79";79;3
"80";80;0
"81";81;0
"82";82;3
"83";83;3
"84";84;2
"85";85;2
"86";86;2
"87";87;3
"88";88;3
"89";89;3
"90";90;2
"91";91;3
"92";92;2
"93";93;2
"94";94;2
"95";95;3
"96";96;2
"97";97;3
"98";98;2
"99";99;2
"100";100;2
"101";101;2
"102";102;1
"103";103;1
"104";104;3
"105";105;2
"106";106;2
"107";107;2
"108";108;2
"109";109;2
"110";110;2
"111";111;3
"112";112;2
"113";113;1
"114";114;3
"115";115;2
"116";116;2
"117";117;3
"118";118;3
"119";119;2
"120";120;3
"121";121;3
"122";122;3
"123";123;2
"124";124;2
"125";125;2
"126";126;2
"127";127;2
"128";128;2
"129";129;2
"130";130;2
"131";131;2
"132";132;2
"133";133;2
"134";134;2
"135";135;2
"136";136;2
"137";137;2
"138";138;3
"139";139;3
"140";140;2
"141";141;2
"142";142;3
"143";143;2
"144";144;2
"145";145;2
"146";146;2
"147";147;2
"148";148;2
"149";149;2
"150";150;2
"151";151;1
"152";152;2
"153";153;1
"154";154;3
"155";155;2
"156";156;2
"157";157;2
"158";158;3
"159";159;3
"160";160;3
"161";161;3
"162";162;3
"163";163;2
"164";164;1
"165";165;1
"166";166;3
"167";167;2
"168";168;3
"169";169;2
"170";170;2
"171";171;2
"172";172;3
"173";173;3
"174";174;3
"175";175;3
"176";176;2
"177";177;3
"178";178;2
"179";179;2
"180";180;2
"181";181;1
"182";182;2
"183";183;2
"184";184;2
"185";185;2
"186";186;2
"187";187;2
"188";188;2
"189";189;2
"190";190;2
"191";191;2
"192";192;2
"193";193;3
"194";194;3
"195";195;3
"196";196;1
"197";197;2
"198";198;3
"199";199;3
"200";200;3
"201";201;3
"202";202;3
"203";203;2
"204";204;3
"205";205;3
"206";206;3
"207";207;3
"208";208;3
"209";209;3
"210";210;3
"211";211;3
"212";212;3
"213";213;3
"214";214;3
"215";215;3
"216";216;3
"217";217;2
"218";218;2
"219";219;3
"220";220;3
"221";221;2
"222";222;2
"223";223;2
"224";224;2
"225";225;3
"226";226;1
"227";227;1
"228";228;3
"229";229;3
"230";230;3
"231";231;3
"232";232;3
"233";233;3
"234";234;3
"235";235;2
"236";236;3
"237";237;3
"238";238;3
"239";239;3
"240";240;2
"241";241;3
"242";242;2
"243";243;2
"244";244;2
"245";245;2
"246";246;3
"247";247;2
"248";248;3
"249";249;3
"250";250;2
"251";251;3
"252";252;2
"253";253;0
"254";254;2
"255";255;1
"256";256;3
"257";257;2
"258";258;3
"259";259;1
"260";260;1
"261";261;2
"262";262;3
"263";263;3
"264";264;3
"265";265;3
"266";266;3
"267";267;2
"268";268;2
"269";269;3
"270";270;1
"271";271;3
"272";272;3
"273";273;3
"274";274;2
"275";275;2
"276";276;2
"277";277;2
"278";278;2
"279";279;2
"280";280;2
"281";281;2
"282";282;2
"283";283;2
"284";284;2
"285";285;2
"286";286;2
"287";287;2
"288";288;2
"289";289;2
"290";290;3
"291";291;2
"292";292;3
"293";293;2
"294";294;2
"295";295;3
"296";296;3
"297";297;3
"298";298;3
"299";299;3
"300";300;2
"301";301;2
"302";302;2
"303";303;2
"304";304;2
"305";305;2
"306";306;2
"307";307;2
"308";308;2
"309";309;2
"310";310;3
"311";311;2
"312";312;2
"313";313;2
"314";314;2
"315";315;3
"316";316;3
"317";317;2
"318";318;2
"319";319;2
"320";320;2
"321";321;3
"322";322;1
"323";323;3
"324";324;3
"325";325;3
"326";326;2
"327";327;2
"328";328;2
"329";329;2
"330";330;3
"331";331;3
"332";332;0
"333";333;1
"334";334;3
"335";335;2
"336";336;3
"337";337;3
"338";338;3
"339";339;3
"340";340;2
"341";341;3
"342";342;3
"343";343;3
"344";344;3
"345";345;2
"346";346;3
"347";347;3
"348";348;2
"349";349;2
"350";350;2
"351";351;3
"352";352;3
"353";353;3
"354";354;3
"355";355;2
"356";356;1
"357";357;1
"358";358;2
"359";359;2
"360";360;1
"361";361;1
"362";362;2
"363";363;3
"364";364;3
"365";365;3
"366";366;3
"367";367;3
"368";368;0
"369";369;2
"370";370;3
"371";371;2
"372";372;3
"373";373;3
"374";374;3
"375";375;3
"376";376;2
"377";377;2
"378";378;3
"379";379;2
"380";380;2
"381";381;2
"382";382;1
"383";383;1
"384";384;1
"385";385;2
"386";386;2
"387";387;2
"388";388;2
"389";389;1
"390";390;1
"391";391;1
"392";392;2
"393";393;2
"394";394;1
"395";395;1
"396";396;1
"397";397;1
"398";398;3
"399";399;2
"400";400;3
"401";401;3
"402";402;3
"403";403;1
"404";404;1
"405";405;3
"406";406;2
"407";407;3
"408";408;1
"409";409;1
"410";410;1
"411";411;3
"412";412;2
"413";413;3
"414";414;1
"415";415;3
"416";416;2
"417";417;3
"418";418;3
"419";419;2
"420";420;2
"421";421;1
"422";422;3
"423";423;3
"424";424;2
"425";425;3
"426";426;3
"427";427;3
"428";428;3
"429";429;2
"430";430;2
"431";431;2
"432";432;3
"433";433;3
"434";434;3
"435";435;3
"436";436;3
"437";437;1
"438";438;2
"439";439;1
"440";440;1
"441";441;2
"442";442;1
"443";443;1
"444";444;2
"445";445;3
"446";446;3
"447";447;2
"448";448;3
"449";449;2
"450";450;2
"451";451;1
"452";452;1
"453";453;2
"454";454;2
"455";455;2
"456";456;2
"457";457;3
"458";458;3
"459";459;3
"460";460;3
"461";461;2
"462";462;1
"463";463;2
"464";464;3
"465";465;2
"466";466;2
"467";467;2
"468";468;3
"469";469;3
"470";470;2
"471";471;3
"472";472;2
"473";473;3
"474";474;3
"475";475;3
"476";476;3
"477";477;3
"478";478;2
"479";479;2
"480";480;2
"481";481;2
"482";482;2
"483";483;2
"484";484;2
"485";485;2
"486";486;2
"487";487;2
"488";488;2
"489";489;2
"490";490;2
"491";491;2
"492";492;3
"493";493;2
"494";494;2
"495";495;3
"496";496;2
"497";497;2
"498";498;3
"499";499;3
"500";500;3
"501";501;3
"502";502;2
"503";503;3
"504";504;3
"505";505;3
"506";506;3
"507";507;3
"508";508;3
"509";509;3
"510";510;3
"511";511;2
"512";512;3
"513";513;2
"514";514;3
"515";515;0
"516";516;0
"517";517;0
"518";518;0
"519";519;0
"520";520;0
"521";521;0
"522";522;0
"523";523;0
"524";524;0
"525";525;0
"526";526;0
"527";527;0
"528";528;0
"529";529;0
"530";530;0
"531";531;0
"532";532;0
"533";533;0
"534";534;3
"535";535;0
"536";536;0
"537";537;2
"538";538;2
"539";539;2
"540";540;2
"541";541;2
"542";542;2
"543";543;2
"544";544;2
"545";545;2
"546";546;2
"547";547;2
"548";548;2
"549";549;2
"550";550;1
"551";551;1
"552";552;2
"553";553;1
"554";554;2
"555";555;2
"556";556;1
"557";557;1
"558";558;1
"559";559;2
"560";560;2
"561";561;1
"562";562;1
"563";563;1
"564";564;1
"565";565;1
"566";566;1
"567";567;2
"568";568;1
"569";569;1
"570";570;1
"571";571;1
"572";572;3
"573";573;0
"574";574;1
"575";575;1
"576";576;3
"577";577;1
"578";578;1
"579";579;1
"580";580;3
"581";581;2
"582";582;2
"583";583;2
"584";584;3
"585";585;3
"586";586;3
"587";587;3
"588";588;2
"589";589;2
"590";590;3
"591";591;3
"592";592;3
"593";593;2
"594";594;3
"595";595;3
"596";596;3
"597";597;3
"598";598;3
"599";599;3
"600";600;3
"601";601;3
"602";602;3
"603";603;3
"604";604;3
"605";605;2
"606";606;2
"607";607;2
"608";608;3
"609";609;2
"610";610;2
"611";611;2
"612";612;2
"613";613;3
"614";614;3
"615";615;3
"616";616;3
"617";617;3
"618";618;3
"619";619;3
"620";620;1
"621";621;3
"622";622;3
"623";623;3
"624";624;2
"625";625;3
"626";626;3
"627";627;3
"628";628;3
"629";629;3
"630";630;2
"631";631;3
"632";632;2
"633";633;3
"634";634;3
"635";635;3
"636";636;3
"637";637;3
"638";638;3
"639";639;3
"640";640;3
"641";641;3
"642";642;3
"643";643;3
"644";644;1
"645";645;1
"646";646;2
"647";647;1
"648";648;2
"649";649;1
"650";650;1
"651";651;2
"652";652;2
"653";653;2
"654";654;2
"655";655;3
