"";"Coord. facteur 1";"Coord. facteur 2";"Corr. facteur 1";"Corr. facteur 2";"COR -facteur 1";"COR -facteur 2";"CTR -facteur 1";"CTR -facteur 2";"mass";"chi.distance";"inertie"
"digital";-0,140145727893736;-0,0019116848537425;-0,999906978727869;-0,0136394241559391;0,999867575346128;0,000132424654468936;0,000268379249100734;4,99369260165554e-08;0,0136643571978445;0,0739366903608031;7,46980421260891e-05
"ensino";-1,81167751568749;0,441553696550793;-0,971559691242402;0,236794776870119;0,959432954017686;0,0405670459822924;0,0263359252398205;0,0015644217368422;0,00802392372831172;0,975719453729654;0,00763900368913188
"pesquisa";0,463615659298347;1,06361419034743;0,399577425369075;0,916699449730074;0,210689286594565;0,789310713405455;0,00186466712581174;0,0098141652676961;0,00867531237046249;0,532829492499667;0,00246298423481654
"tecnologia";-1,00205568544504;0,124916926638708;-0,992319265030346;0,123703178009433;0,989059559580059;0,0109404404199484;0,00801235131519726;0,000124514191157455;0,00797951086634689;0,531535186505882;0,00225444844809886
"educação";-1,33039638586107;0,351683858463225;-0,966791440153503;0,255566647366035;0,952617828984247;0,0473821710157559;0,0120271382642283;0,000840436802915615;0,00679516788061823;0,719073176922649;0,00351355186386364
"social";0,218378066271572;-0,884392948057875;0,23972419477781;-0,97084103252702;0,0789006320564883;0,921099367943511;0,000297226572330834;0,00487483749700752;0,00623260496239711;0,410128698699248;0,00104835874249611
"artigo";0,639208915864819;0,216456554526757;0,947166946265939;0,320740979454225;0,924537071247518;0,0754629287524991;0,00264939836408231;0,000303810723025798;0,00648427784686445;0,350696994759404;0,000797490841688509
"estudo";0,403567860433446;0,894659957031466;0,411187138035543;0,911550951682976;0,222314446298757;0,777685553701263;0,000940340750432042;0,00462134202491654;0,00577367205542725;0,451527405696329;0,00117711892664467
"informação";0,591862822361278;0,838329681024676;0,576748686741077;0,816921631701868;0,411854448240168;0,588145551759855;0,00187213356099571;0,00375598969807224;0,00534434772310061;0,486519851463762;0,00126501547460271
"processo";-1,00612470920821;0,205106094645646;-0,979847058470563;0,199749197762055;0,971269271237252;0,0287307287627522;0,00523017911318294;0,00021735521423603;0,00516669627524131;0,538559108782432;0,00149857914171747
"aprendizagem";-1,99784065166092;0,422672043795726;-0,978344556154269;0,206982920656042;0,969124195344596;0,030875804655408;0,0177858937066695;0,000796087946919869;0,00445609048380411;1,07058834915133;0,00510739005470052
"uso";-0,915227267056676;0,162215769855819;-0,984653463299034;0,174520936317733;0,978128545343192;0,0218714546568128;0,00412942554141089;0,000129723268559277;0,00492982767809558;0,488182681887643;0,00117488802315448
"forma";-0,172347874414113;-0,0288238701554429;-0,986301687699812;-0,164951449949682;0,980479773466232;0,0195202265337822;0,000148633282369445;4,15727535781056e-06;0,00500384911470362;0,0918201498658427;4,21871512617458e-05
"aluno";-2,15561428566884;0,388783205167554;-0,984121764546958;0,177494654975809;0,977369957830218;0,0226300421697879;0,0196053442047903;0,000637745432533925;0,00421922188665838;1,150251863228;0,00558236534649364
"novo";-0,0770199209281659;-0,427543133072973;-0,177291584974224;-0,984158368301224;0,0436044027148129;0,956395597285201;2,8190233590183e-05;0,000868665170467686;0,00475217623023628;0,194576005138454;0,000179916545123176
"professor";-1,96374833529166;0,561678885992153;-0,961445285797293;0,274996295280792;0,944972809227608;0,0550271907723948;0,0164989766468328;0,00134977551385907;0,00427843903594481;1,06568182476299;0,00485892802482862
"prático";-0,884175436600949;0,173298464122619;-0,981328263237281;0,192340426774253;0,973383555932867;0,0266164440671374;0,00366879680008657;0,000140940625636895;0,00469295908094984;0,472767733453893;0,00104892013893907
"matemática";-1,57530023571408;0,632988694301453;-0,927892899951998;0,372846840161844;0,896920421300018;0,103079578699983;0,00782517006206698;0,00126345277958143;0,00315331319950258;0,877481091982514;0,00242796623476037
"história";0,451940784756606;0,215636416313346;0,902529623455397;0,43062777289146;0,860552148932805;0,139447851067215;0,000834564021550467;0,000189994399170482;0,0040859833007639;0,257006628146328;0,0002698890316142
"meio";0,372074928892554;0,244737625536179;0,835467094937178;0,549540474648804;0,764549436506723;0,235450563493299;0,000618949566508861;0,000267790972591819;0,00447089477112572;0,224480699156392;0,000225295470727634
"objectivo";-0,240310611131529;-0,0271349661627222;-0,993685284535541;-0,11220318755508;0,99100621414195;0,00899378585806321;0,000275289262788176;3,50995820965786e-06;0,00476698051755788;0,127346245156828;7,730643841542e-05
"apresentar";0,327303521338205;0,330165522145629;0,704022034168415;0,710178129348804;0,579947116989116;0,420052883010908;0,000456752936921181;0,000464775720079713;0,0042636347486232;0,226729414231954;0,000219177376917953
"conhecimento";-0,349901608743213;0,155676321579947;-0,913652066741181;0,406497110616506;0,876502069007726;0,123497930992273;0,000494814059242275;9,79479328548738e-05;0,00404157043879908;0,197160927084187;0,000157105668695654
"análise";0,898114025079229;0,981870371603771;0,67493454130587;0,73787760838247;0,540323271136269;0,459676728863755;0,00311667106847705;0,00372508616615293;0,00386391899093978;0,644549131203888;0,0016052403482237
"utilizar";0,351736336751967;0,95471992380192;0,345703123931733;0,938343940196686;0,160151174439683;0,839848825560336;0,000503679959624499;0,00371083950003989;0,00407117901344229;0,463664192097767;0,00087524031554244
"partir";0,977435633267742;-0,35435348524483;0,940125874191869;-0,340827435331977;0,91445170682169;0,0855482931783121;0,00373394371611179;0,00049075513148223;0,0039083318529046;0,539211523947282;0,00113634384193749
"dado";1,33446462021053;1,14924155614241;0,757735321721192;0,652562014076886;0,654487708576073;0,34551229142395;0,00579995086413515;0,00430162779001922;0,00325694321075383;0,870177203919767;0,00246618464749152
"ciência";0,710673752266042;1,30051064311112;0,479530273180388;0,877525337015144;0,295539667896308;0,704460332103714;0,00176457474669473;0,00590918150280525;0,00349381180789957;0,689626228106659;0,00166160216350236
"contexto";-0,81515495166253;-0,0504561521056926;-0,998089829369149;-0,0617793858003125;0,99728031471729;0,00271968528272132;0,00260683606817796;9,98761133724002e-06;0,00392313614022621;0,430608831713264;0,00072744346208041
"humanidades_digitais";1,51069935338446;1,74350546409088;0,654846688270066;0,755761744772602;0,513326490253001;0,486673509747022;0,00783847498705162;0,0104405196655567;0,00343459465861313;1,11232728429594;0,00424952775913852
"relação";-0,0447235307332156;-0,384493072383838;-0,115539178790825;-0,993302923666462;0,0186536550945101;0,981346344905501;6,7810219708219e-06;0,000501187263884296;0,00339018179664831;0,172745004004419;0,000101165860388812
"analisar";-0,050659595248543;-0,2650582354962;-0,187728249630631;-0,982221005828433;0,048814896649039;0,951185103350974;9,30844251099691e-06;0,000254821574436962;0,00362705039379404;0,120958645156714;5,30673519622522e-05
"resultado";-0,154495578085155;0,371027394964376;-0,384405128312077;0,923164501769525;0,195879067805676;0,804120932194319;8,44534729650029e-05;0,000487076706157965;0,00353822466986439;0,184150721445801;0,000119986464172931
"presente";0,547033248958514;-0,170737108966288;0,954584636054112;-0,297939880864308;0,935156536319131;0,0648434636808716;0,00103221668270864;0,000100553981881221;0,00344939894593474;0,298416582228254;0,000307177449752303
"texto";0,292863977102819;0,193219408885569;0,834702186068763;0,550701607562597;0,763458014742871;0,236541985257151;0,000196811791734685;8,56684090626476e-05;0,00229466453484929;0,176817302867998;7,17412148693462e-05
"desafio";-1,56080608556842;0,347849033817187;-0,976054020846129;0,217528270323894;0,965853328515488;0,0341466714845164;0,00840313470957167;0,000417373651719064;0,00344939894593474;0,837808465800469;0,00242121254382803
"realizar";0,425525966315397;1,23287423586579;0,326262658034092;0,945279153463425;0,143368891931921;0,856631108068096;0,000562935883842852;0,00472546285762642;0,00310890033753775;0,59285704831394;0,00109271467318734
"desenvolvimento";-0,296203823134185;0,078063121256553;-0,966982279404957;0,25484362129901;0,952890655137501;0,0471093448625021;0,000270166912515189;1,87647448816483e-05;0,00307929176289453;0,160073894401662;7,89026995193673e-05
"produção";0,385301438012124;0,185215521464863;0,901275766076591;0,43324588109185;0,858754110310957;0,141245889689063;0,000378022118776044;8,73515688893554e-05;0,00254633741931663;0,219339879561091;0,000122504249359423
"formação";-1,67193111689152;0,10809818682237;-0,997916415702068;0,0645199757620583;0,997033370956848;0,00296662904316017;0,00827664374853477;3,45982649206017e-05;0,00296085746432167;0,883313602929647;0,00231018807698393
"científico";1,27823809284324;1,04904538236523;0,773003783684595;0,63440141110286;0,675939367982385;0,324060632017638;0,00445070531247668;0,00299773943601845;0,00272398886717593;0,820180180345942;0,00183241512990382
"brasil";0,523942408958075;0,532581515067125;0,701301384491407;0,712864901724328;0,576216381161982;0,423783618838042;0,000772161619913397;0,000797835366499777;0,00281281459110558;0,364117990612044;0,000372928334023168
"campo";0,856819394261369;0,622414103182869;0,809062624216611;0,587722443076433;0,726951771051713;0,273048228948309;0,00203239299031078;0,00107247693584199;0,00276840172914076;0,530136704402662;0,000778045257318783
"também";0,0150301704882942;-0,481672038066663;0,0311889775734629;-0,999513505500512;0,00136608512300864;0,998633914876997;6,32087385377199e-07;0,000649160640970131;0,00279801030378398;0,214524259293441;0,000128766274782385
"humanidade";0,685811933249752;-1,12467980282995;0,520624892161224;-0,853785524392463;0,343140134952657;0,656859865047336;0,00136475172509033;0,0036702983529216;0,00290164031503523;0,61761902286996;0,00110684015000482
"aula";-2,12150804450977;0,284549769979564;-0,991124655454368;0,132935764000736;0,987356865604497;0,0126431343955091;0,0108608665010942;0,000195385165660773;0,00241309883342216;1,12631273045377;0,00306120980318446
"histórico";1,18826471323546;-0,448855634913158;0,935483640710871;-0,353370001503146;0,90780005553356;0,0921999444664408;0,00346994023165174;0,000495118275076788;0,00245751169538698;0,657914538025897;0,00106373772030864
