"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"3";"***";"";""
"**";"classe";"1";"**";"";""
"****";"1383";"3999";"34.58";"****";""
"  7";"232";" 3.02";"-108.477";"humanidades_digitais";"2.113085e-25"
" 13";"220";" 5.91";" -84.612";"dado";"3.630016e-20"
" 29";"264";"10.98";" -69.580";"partir";"7.335969e-17"
"  9";"166";" 5.42";" -65.102";"histórico";"7.110565e-16"
" 13";"184";" 7.07";" -64.560";"científico";"9.362785e-16"
"  0";" 79";" 0.00";" -42.607";"documento";"6.693319e-11"
" 43";"261";"16.48";" -40.473";"análise";"1.993760e-10"
" 92";"438";"21.00";" -40.090";"artigo";"2.425153e-10"
"  0";" 64";" 0.00";" -34.385";"memória";"4.521572e-09"
" 19";"152";"12.50";" -34.061";"teórico";"5.341143e-09"
" 24";"169";"14.20";" -32.404";"brasileiro";"1.252433e-08"
"  9";"102";" 8.82";" -30.702";"cultural";"3.009311e-08"
" 32";"196";"16.33";" -30.366";"humanidade";"3.577340e-08"
"  3";" 71";" 4.23";" -29.447";"arquivo";"5.747733e-08"
"  7";" 90";" 7.78";" -29.244";"grupo";"6.382658e-08"
" 20";"145";"13.79";" -28.746";"base";"8.250663e-08"
"  0";" 53";" 0.00";" -28.396";"imagem";"9.887784e-08"
" 31";"187";"16.58";" -28.114";"campo";"1.143756e-07"
" 12";"110";"10.91";" -28.023";"método";"1.198899e-07"
" 17";"129";"13.18";" -26.997";"rede";"2.037567e-07"
"  1";" 55";" 1.82";" -26.464";"publicação";"2.685189e-07"
"  0";" 45";" 0.00";" -24.061";"patrimônio";"9.333688e-07"
"  0";" 45";" 0.00";" -24.061";"periódico";"9.333688e-07"
"  1";" 50";" 2.00";" -23.762";"museu";"1.090336e-06"
"  2";" 54";" 3.70";" -23.072";"acervo";"1.560089e-06"
"  3";" 59";" 5.08";" -23.034";"característica";"1.591951e-06"
"  9";" 85";"10.59";" -22.103";"palavra";"2.584224e-06"
"  7";" 76";" 9.21";" -22.046";"metodológico";"2.661410e-06"
"  1";" 46";" 2.17";" -21.606";"mulher";"3.347869e-06"
"  0";" 40";" 0.00";" -21.360";"computacional";"3.805415e-06"
" 10";" 87";"11.49";" -20.958";"fonte";"4.695828e-06"
"  2";" 50";" 4.00";" -20.934";"exploratório";"4.753404e-06"
"  2";" 49";" 4.08";" -20.401";"revista";"6.279877e-06"
"  3";" 54";" 5.56";" -20.388";"discurso";"6.321982e-06"
" 86";"361";"23.82";" -20.311";"informação";"6.580949e-06"
" 23";"138";"16.67";" -20.282";"direito";"6.683876e-06"
"  0";" 38";" 0.00";" -20.282";"ensaio";"6.682010e-06"
" 12";" 94";"12.77";" -20.254";"investigação";"6.779868e-06"
"  8";" 75";"10.67";" -19.326";"chave";"1.102027e-05"
"  6";" 66";" 9.09";" -19.277";"pesquisador";"1.130397e-05"
"  0";" 35";" 0.00";" -18.667";"corpus";"1.556683e-05"
"  0";" 34";" 0.00";" -18.129";"conceitual";"2.064437e-05"
" 52";"236";"22.03";" -17.460";"ciência";"2.934303e-05"
"  4";" 53";" 7.55";" -17.355";"arte";"3.101555e-05"
"  5";" 57";" 8.77";" -17.029";"próprio";"3.681542e-05"
" 52";"233";"22.32";" -16.454";"presente";"4.983711e-05"
"  1";" 36";" 2.78";" -16.244";"documental";"5.569199e-05"
"  1";" 36";" 2.78";" -16.244";"descritivo";"5.569199e-05"
"  1";" 35";" 2.86";" -15.710";"narrativo";"7.383715e-05"
"  3";" 45";" 6.67";" -15.679";"preservação";"7.506916e-05"
"  6";" 58";"10.34";" -15.284";"possuir";"9.249373e-05"
"  1";" 34";" 2.94";" -15.176";"civil";"9.791599e-05"
"162";"586";"27.65";" -14.612";"pesquisa";"1.320968e-04"
"  1";" 32";" 3.12";" -14.111";"cinema";"1.723202e-04"
" 16";" 96";"16.67";" -13.957";"revisão";"1.870256e-04"
"  3";" 41";" 7.32";" -13.613";"jurídico";"2.245886e-04"
"  1";" 31";" 3.23";" -13.579";"identificação";"2.286965e-04"
"  8";" 63";"12.70";" -13.551";"natureza";"2.321261e-04"
"  0";" 25";" 0.00";" -13.300";"época";"2.654219e-04"
"  3";" 40";" 7.50";" -13.100";"estrutura";"2.952400e-04"
"  1";" 30";" 3.33";" -13.048";"aqui";"3.036122e-04"
"  5";" 49";"10.20";" -13.033";"técnica";"3.060462e-04"
"  2";" 35";" 5.71";" -13.008";"levantamento";"3.102003e-04"
"  2";" 35";" 5.71";" -13.008";"compor";"3.102003e-04"
"  0";" 23";" 0.00";" -12.230";"documentação";"4.703369e-04"
" 19";"103";"18.45";" -12.169";"cultura";"4.858623e-04"
"  3";" 38";" 7.89";" -12.079";"biblioteca";"5.099012e-04"
"  1";" 28";" 3.57";" -11.987";"torno";"5.356696e-04"
"  1";" 28";" 3.57";" -11.987";"registro";"5.356696e-04"
"  1";" 28";" 3.57";" -11.987";"noção";"5.356696e-04"
"  2";" 33";" 6.06";" -11.966";"constituição";"5.418161e-04"
"  4";" 42";" 9.52";" -11.782";"gênero";"5.979314e-04"
"  4";" 42";" 9.52";" -11.782";"viver";"5.979314e-04"
" 32";"149";"21.48";" -11.753";"conceito";"6.075700e-04"
" 34";"156";"21.79";" -11.736";"humano";"6.131489e-04"
"  0";" 22";" 0.00";" -11.695";"padrão";"6.266581e-04"
"  0";" 22";" 0.00";" -11.695";"mapa";"6.266581e-04"
"  4";" 41";" 9.76";" -11.287";"região";"7.806098e-04"
" 12";" 74";"16.22";" -11.243";"país";"7.992285e-04"
"  0";" 21";" 0.00";" -11.161";"of";"8.354964e-04"
"  0";" 21";" 0.00";" -11.161";"unido";"8.354964e-04"
"  3";" 36";" 8.33";" -11.065";"coleta";"8.798436e-04"
"  6";" 49";"12.24";" -10.942";"cidade";"9.399046e-04"
"  2";" 31";" 6.45";" -10.929";"chamado";"9.466269e-04"
"  1";" 26";" 3.85";" -10.929";"linha";"9.466350e-04"
" 33";"150";"22.00";" -10.908";"bibliográfico";"9.574272e-04"
"  7";" 53";"13.21";" -10.849";"organização";"9.887544e-04"
"  0";" 20";" 0.00";" -10.627";"personagem";"1.114761e-03"
"  0";" 20";" 0.00";" -10.627";"fake_news";"1.114761e-03"
"  0";" 20";" 0.00";" -10.627";"empresa";"1.114761e-03"
"  0";" 20";" 0.00";" -10.627";"discursivo";"1.114761e-03"
"  0";" 20";" 0.00";" -10.627";"escopo";"1.114761e-03"
"  0";" 20";" 0.00";" -10.627";"artístico";"1.114761e-03"
"  0";" 20";" 0.00";" -10.627";"jornal";"1.114761e-03"
"  0";" 20";" 0.00";" -10.627";"filme";"1.114761e-03"
" 31";"142";"21.83";" -10.584";"tema";"1.140935e-03"
" 26";"124";"20.97";" -10.487";"projeto";"1.202395e-03"
"  2";" 30";" 6.67";" -10.413";"apresentado";"1.251387e-03"
"  1";" 25";" 4.00";" -10.401";"sul";"1.259310e-03"
"  1";" 25";" 4.00";" -10.401";"narrativa";"1.259310e-03"
"  1";" 25";" 4.00";" -10.401";"expressão";"1.259310e-03"
"  1";" 25";" 4.00";" -10.401";"exposição";"1.259310e-03"
"  4";" 39";"10.26";" -10.303";"divulgação";"1.328388e-03"
" 71";"276";"25.72";" -10.284";"história";"1.341569e-03"
"  3";" 34";" 8.82";" -10.058";"ocorrer";"1.516611e-03"
" 29";"133";"21.80";"  -9.931";"diverso";"1.625303e-03"
"  2";" 29";" 6.90";"  -9.898";"iniciativa";"1.654399e-03"
"  1";" 24";" 4.17";"  -9.874";"notícia";"1.676153e-03"
"  1";" 24";" 4.17";"  -9.874";"identidade";"1.676153e-03"
"  1";" 24";" 4.17";"  -9.874";"local";"1.676153e-03"
"  1";" 24";" 4.17";"  -9.874";"homem";"1.676153e-03"
"  5";" 42";"11.90";"  -9.650";"internacional";"1.893663e-03"
" 12";" 70";"17.14";"  -9.579";"temática";"1.967627e-03"
"  0";" 18";" 0.00";"  -9.559";"regime";"1.989626e-03"
"  0";" 18";" 0.00";"  -9.559";"quantitativo";"1.989626e-03"
"  0";" 18";" 0.00";"  -9.559";"manifestação";"1.989626e-03"
"  3";" 33";" 9.09";"  -9.558";"número";"1.990288e-03"
"  3";" 33";" 9.09";"  -9.558";"institucional";"1.990288e-03"
"  9";" 58";"15.52";"  -9.457";"resumo";"2.103446e-03"
"  9";" 58";"15.52";"  -9.457";"elemento";"2.103446e-03"
"  2";" 28";" 7.14";"  -9.385";"temático";"2.187388e-03"
"  1";" 23";" 4.35";"  -9.348";"intelectual";"2.232275e-03"
"  1";" 23";" 4.35";"  -9.348";"edição";"2.232275e-03"
"  1";" 23";" 4.35";"  -9.348";"religioso";"2.232275e-03"
"  1";" 23";" 4.35";"  -9.348";"filosofia";"2.232275e-03"
"  4";" 37";"10.81";"  -9.329";"web";"2.255332e-03"
" 27";"124";"21.77";"  -9.281";"universidade";"2.315143e-03"
" 22";"106";"20.75";"  -9.204";"construção";"2.414415e-03"
"  6";" 45";"13.33";"  -9.084";"pensamento";"2.577857e-03"
"  3";" 32";" 9.38";"  -9.061";"repositório";"2.611043e-03"
"  3";" 32";" 9.38";"  -9.061";"produto";"2.611043e-03"
"  0";" 17";" 0.00";"  -9.026";"scielo";"2.662020e-03"
"  0";" 17";" 0.00";"  -9.026";"fotografia";"2.662020e-03"
"  0";" 17";" 0.00";"  -9.026";"urbano";"2.662020e-03"
"  0";" 17";" 0.00";"  -9.026";"gráfico";"2.662020e-03"
"  0";" 17";" 0.00";"  -9.026";"seleção";"2.662020e-03"
"  1";" 22";" 4.55";"  -8.823";"oral";"2.974815e-03"
"  1";" 22";" 4.55";"  -8.823";"referencial";"2.974815e-03"
"  1";" 22";" 4.55";"  -8.823";"quantidade";"2.974815e-03"
"  1";" 22";" 4.55";"  -8.823";"localizar";"2.974815e-03"
"  1";" 22";" 4.55";"  -8.823";"voz";"2.974815e-03"
"  1";" 22";" 4.55";"  -8.823";"conhecido";"2.974815e-03"
"  1";" 22";" 4.55";"  -8.823";"bibliografia";"2.974815e-03"
"  9";" 56";"16.07";"  -8.603";"pó";"3.355276e-03"
"  3";" 31";" 9.68";"  -8.566";"selecionar";"3.424167e-03"
" 47";"190";"24.74";"  -8.549";"brasil";"3.456666e-03"
"  0";" 16";" 0.00";"  -8.493";"américa";"3.565753e-03"
"  0";" 16";" 0.00";"  -8.493";"escrito";"3.565753e-03"
"  0";" 16";" 0.00";"  -8.493";"definição";"3.565753e-03"
"  0";" 16";" 0.00";"  -8.493";"antigo";"3.565753e-03"
"  4";" 35";"11.43";"  -8.368";"linguístico";"3.818882e-03"
"  2";" 26";" 7.69";"  -8.365";"procedimento";"3.824843e-03"
"  2";" 26";" 7.69";"  -8.365";"abrir";"3.824843e-03"
"  1";" 21";" 4.76";"  -8.299";"popular";"3.967149e-03"
"  1";" 21";" 4.76";"  -8.299";"opinião";"3.967149e-03"
"  5";" 39";"12.82";"  -8.245";"informacional";"4.085762e-03"
"  5";" 39";"12.82";"  -8.245";"breve";"4.085762e-03"
" 14";" 74";"18.92";"  -8.178";"dar";"4.240813e-03"
"  0";" 15";" 0.00";"  -7.960";"pequeno";"4.782498e-03"
"  0";" 15";" 0.00";"  -7.960";"branco";"4.782498e-03"
"  0";" 15";" 0.00";"  -7.960";"consumidor";"4.782498e-03"
"  0";" 15";" 0.00";"  -7.960";"sujeitar";"4.782498e-03"
"  0";" 15";" 0.00";"  -7.960";"panorama";"4.782498e-03"
