"";"classe 1";"classe 2";"classe 3"
"digital";16,062;-5,607;-2,861
"ensino";660,287;-255,418;-99,793
"pesquisa";-14,612;-81,049;186,201
"tecnologia";209,282;-64,693;-44,14
"educação";304,346;-123,994;-41,961
"social";-7,1;61,971;-31,413
"artigo";-40,09;0,458;35,358
"estudo";-6,572;-36,716;84,173
"informação";-20,311;-20,05;90,848
"processo";131,38;-48,104;-21,739
"aprendizagem";411,141;-148,28;-69,666
"uso";104,213;-36,348;-18,584
"forma";6,364;-1,58;-1,727
"aluno";446,073;-149,939;-83,958
"novo";1,209;4,508;-11,743
"professor";386,196;-162,128;-50,333
"prático";93,014;-33,8;-15,576
"matemática";186,889;-97,238;-14,925
"história";-10,284;-0,054;13,152
"meio";-6,616;-0,628;12,647
"objectivo";9,815;-2,365;-2,745
"apresentar";-4,025;-2,403;14,209
"conhecimento";16,257;-9,481;-0,916
"análise";-40,473;-12,149;108,685
"utilizar";-2,529;-31,64;59,064
"partir";-69,58;31,653;7,699
"dado";-84,612;-6,803;155,644
"ciência";-17,46;-35,843;116,601
"contexto";62,931;-12,416;-21,076
"humanidades_digitais";-108,477;-32,354;290,636
"relação";0,472;2,648;-6,064
"analisar";0,756;0,822;-3,55
"resultado";5,255;-12,094;1,693
"presente";-16,454;6,385;2,474
"texto";-1,716;-0,29;3,822
"desafio";195,131;-72,702;-31,395
"realizar";-3,003;-38,916;72,09
"desenvolvimento";9,026;-4,1;-1,002
"produção";-4,185;-0,054;5,777
"formação";183,587;-47,359;-47,868
"científico";-64,56;-4,051;112,656
"brasil";-8,549;-2,914;24,047
"campo";-28,114;-1,172;45,449
"também";0,01;4,871;-6,067
"humanidade";-30,366;66,474;-8,452
"aula";237,351;-71,798;-51,465
"histórico";-65,102;30,792;6,603
"público";-2,898;0,477;1,113
"jogo";22,027;-2,805;-9,948
"assim";-3,285;6,271;-0,588
"abordagem";22,346;-24,405;0,09
"escola";101,052;-41,925;-13,469
"pessoa";2,549;13,977;-32,219
"sociedade";-0,276;33,871;-32,097
"tecnológico";68,863;-12,529;-24,589
"recurso";128,646;-42,087;-25,152
"metodologia";-0,266;-55,703;72,551
"além";-0,166;1,123;-0,495
"humano";-11,736;59,217;-21,288
"direito";-20,282;87,512;-27,581
"educacional";176,662;-56,519;-35,608
"ferramenta";22,495;-9,545;-2,871
"bibliográfico";-10,908;-75,357;162,668
"teórico";-34,061;0,253;31,468
"necessidade";112,776;-21,285;-39,141
"brasileiro";-32,404;11,334;5,754
"docente";196,935;-60,548;-41,827
"comunicação";5,375;-0,703;-2,39
"importância";63,986;-7,796;-29,618
"conceito";-11,753;12,029;-0,009
"grande";17,592;-6,415;-2,93
"bem";0,583;0,787;-3,072
"reflexão";7,333;-0,067;-6,631
"vida";4,772;4,626;-21,151
"estudante";113,464;-48,971;-14,007
"busca";-7,431;-3,595;23,984
"conteúdo";2,211;-21,761;11,684
"base";-28,746;-10,5;82,986
"área";-3,504;-29,446;60,368
"trazer";8,961;-8,429;-0,003
"compreender";-0,019;3,154;-3,072
"representação";-0,172;8,358;-7,032
"autor";-0,462;-0,229;1,507
"através";-3,208;-2,317;12,343
"ano";-2,198;-0,55;5,54
"tornar";41,747;-4,9;-19,718
"acesso";0;-6,482;7,512
"abordar";-0,833;-0,388;2,648
"tema";-10,584;-0,177;15,025
"perspectiva";-0,003;0,016;-0,006
"rede";-26,997;33,968;-0,569
"pedagógico";171,37;-67,307;-25,228
"destacar";62,108;-18,882;-13,381
"mostrar";25,573;-13,279;-2,054
"ambiente";35,045;-6,95;-11,687
"projeto";-10,487;-5,799;35,809
"diverso";-9,931;1,611;3,854
"remoto";131,095;-53,041;-18,304
"experiência";1,932;0,672;-5,476
"universidade";-9,281;-40,689;100,491
"possível";3,543;0;-3,971
"mundo";7,168;0,265;-11,357
"buscar";0,687;0,914;-3,59
"sentido";-0,242;1,894;-0,908
"diferente";-7,836;5,75;0,149
"questão";-1,274;1,886;-0,078
"pandemia";41,201;-6,545;-16,221
"considerar";-2,948;9,81;-2,366
"qualitativo";-6,864;-42,886;95,196
"contribuir";38,515;-8,282;-11,986
"principal";-0,049;-0,547;1,047
"método";-28,023;-12,4;87,205
"atividade";19,131;-8,886;-2,022
"geral";2,808;-0,342;-1,3
"mesmo";-1,723;20,84;-12,216
"cultural";-30,702;27,833;0,04
"papel";12,327;0,035;-15,199
"disciplina";24,199;-9,278;-3,713
"possibilidade";-0,006;11,583;-12,629
"desenvolver";-0,004;-18,052;21,236
"construção";-9,204;25,815;-4,987
"transformação";39,79;-3,916;-20,519
"obra";-1,392;9,644;-4,307
"discutir";-1,468;1,037;0,035
"plataforma";1,411;-5,336;1,481
"fundamental";28,013;-2,109;-16,187
"identificar";-6,701;-1,895;17,619
"ação";1,087;-0,091;-0,602
"problema";0,71;2,476;-6,597
"modo";-0,232;9,401;-7,664
"acadêmico";-5,248;-8,744;31,054
"mudança";25,85;-0,282;-22,929
"importante";13,103;0,192;-18,323
"ainda";-0,796;15,014;-10,243
"promover";85,457;-27,281;-17,274
"nacional";2,98;-26,22;13,343
"aspecto";-0,385;8,246;-5,829
"tratar";-1,885;-0,499;4,843
"leitura";2,215;-7,747;1,978
"instituição";3,04;-5,583;0,474
"estratégia";49,061;-14,736;-10,733
"discussão";-3,993;0,308;2,286
"tender";1,019;-0,614;-0,051
"cultura";-12,169;22,663;-1,994
"proposta";-3,314;-1,113;9,271
"mídia";-6,867;17,373;-2,867
"investigação";-20,254;-5,329;51,94
"saúde";7,893;-1,137;-3,311
"espaço";-1,461;30,023;-20,988
"contribuição";14,011;-3,785;-3,474
"documento";-42,607;-3,674;79,627
"crítica";-0,108;3,437;-2,675
"vez";-3,172;12,62;-3,685
"revisão";-13,957;-25,123;86,315
"grupo";-29,244;1,645;18,711
"escolar";29,124;-11,46;-4,274
"modelo";-4,858;-3,846;19,51
"diante";69,058;-19,593;-16,189
"dever";0,577;0,011;-0,828
"internet";1,317;4,247;-11,633
"produzir";-3,823;3,928;-0,003
"permitir";-0,979;0,877;0,002
"literatura";-7,731;-18,489;56,595
"muito";0,839;0,213;-2,123
"inserir";-1,121;-0,068;1,942
"sistema";-4,985;9,002;-0,729
"já";-0,771;0,02;0,596
"covid";28,31;-6,301;-8,54
"profissional";61,109;-14,438;-17,422
"objetivo";17,318;-32,602;2,95
"político";1,734;0,384;-4,199
"língua";5,597;-18,734;4,548
"criar";3,957;1,127;-10,43
"arquivo";-29,447;-14,208;94,931
"virtual";-1,77;2,155;-0,028
"vir";18,204;-8,409;-1,948
"palavra";-22,103;1,116;14,618
"livro";17,704;-18,897;0,045
"ideia";2,767;7,697;-22,245
"fonte";-20,958;-7,377;59,66
"explorar";14,236;-8,974;-0,598
"dificuldade";73,888;-31,438;-9,383
"dentro";1,25;-0,95;-0,018
"vista";-0,011;3,132;-3,174
"inclusão";76,792;-16,293;-24,18
"impacto";18,204;-1,125;-11,294
"específico";7,37;-8,647;0,08
"teoria";-0,226;0,001;0,22
"realidade";3,904;0,319;-7,206
"sala";129,758;-43,92;-24,18
"investigar";24,408;-3,674;-9,959
"futuro";20,919;-3,391;-8,123
"concluir";-2,906;0,022;2,684
"caso";-1,655;0,907;0,114
"respeito";15,241;-2,086;-6,599
"maior";0,061;0,085;-0,326
"dia";19,487;-5,055;-5,051
"construir";-0,405;2,477;-1,023
"comunidade";-2,014;2,03;-0,001
"melhor";23,788;-3,879;-9,199
"encontrar";4,911;-1,113;-1,457
"apenas";-0,319;20,637;-18,135
"utilização";6,699;-8,305;0,125
"observar";1,459;0,085;-2,509
"longo";5,655;-0,002;-6,027
"atual";0;6,237;-7,206
"material";-4,011;-2,423;14,233
"país";-11,243;0,812;6,599
"levar";5,597;1,422;-14,184
"evidenciar";4,504;-0,061;-3,884
"cotidiano";-0,042;7,08;-6,901
"qualidade";54,281;-20,331;-8,659
"metodológico";-22,046;-8,341;64,505
"chave";-19,326;-0,026;23,056
"período";19,441;-5,905;-4,194
"passar";-0,004;17,474;-19,379
"memória";-34,385;28,37;0,236
"federal";-0,973;-15,121;26,975
"essencial";59,701;-27,973;-6,187
"dar";-8,178;18,541;-2,524
"silva";2,863;-5,859;0,647
"contemporâneo";6,377;-0,147;-5,062
"aplicação";-0,018;-5,3;6,759
"século";0,04;18,437;-23,033
"médio";24,941;-20,024;-0,229
"debate";-0,152;10,725;-9,538
"até";-7,208;25,656;-6,678
"textual";0,175;-8,762;7,411
"pesquisador";-19,277;-19,906;88,206
"envolver";-0,526;-1,261;3,857
"década";3,708;-7,26;0,724
"principalmente";3,708;-2,695;-0,075
"necessário";1,988;0;-2,141
"enfrentar";70,899;-14,208;-23,441
"temática";-9,579;0,002;10,315
"online";14,399;-8,747;-0,7
"habilidade";39,755;-12,447;-8,246
"físico";1,824;0,029;-2,569
"entender";2,156;3,221;-12
"possuir";-15,284;3,281;4,764
"interação";0,224;4,479;-7,619
"maneira";0,79;1,723;-5,47
"relevante";1,231;-9,486;4,504
"propor";-5,304;0,885;2,018
"perfil";26,309;-9,291;-4,605
"momento";0,16;9,714;-14,073
"eletrônico";7,218;-17,179;2,556
"condição";0,412;-0,08;-0,139
"ativo";48,296;-16,098;-9,199
"refletir";-0,09;6,019;-5,314
"evolução";2,199;-0,313;-0,929
"corpus";-18,667;-7,746;56,619
"termo";-4,011;1,853;0,429
"santo";-0,632;-1,085;3,804
"quando";0,003;8,025;-9,527
"potencial";11,62;-3,946;-2,155
"objeto";-2,388;-7,26;20,309
"jovem";13,918;-0,823;-8,765
"âmbito";0,474;-2,423;0,88
"significativo";5,966;0,009;-7,159
"didático";47,304;-27,78;-2,601
"representar";-5,161;12,136;-1,767
"natureza";-13,551;0,529;9,613
"integração";68,439;-16,64;-18,968
"inovação";19,749;-10,695;-1,408
"demonstrar";-0,858;1,201;-0,038
"cenário";-0,014;5,868;-6,067
"programa";0,032;-14,506;15,061
"imagem";-28,396;34,355;-0,422
"característica";-23,034;12,951;1,464
"aprendizado";25,171;-11,362;-2,833
"fornecer";12,253;-9,456;-0,161
"exploratório";-20,934;-23,52;100,022
"visar";-0,881;3,872;-1,24
"resumo";-9,457;-3,071;26,129
"relacionado";-3,853;-0,146;6,128
"pó";-8,603;-2,488;22,799
"oportunidade";20,697;-3,274;-8,172
"elemento";-9,457;1,595;3,571
"gestão";-0,149;-0,197;0,777
"criação";-5,371;3,872;0,115
"causar";18,109;-1,239;-10,844
"usuário";-2,567;12,872;-4,605
"tdics";44,782;-15,792;-7,854
"surgir";23,538;-4,44;-8,172
"publicação";-26,464;-10,087;77,653
"política";-1,527;11,856;-5,653
"museu";-23,762;2,687;11,444
"interesse";13,27;-0,102;-12,217
"gerar";0,319;-0,131;-0,043
"discurso";-20,388;15,992;0,234
"criança";38,584;-10,847;-9,143
"arte";-17,355;7,337;2,231
"revista";-20,401;-22,929;97,494
"próprio";-17,029;40,358;-5,96
"educador";63,791;-32,59;-5,35
"contar";-6,417;6,45;-0,002
"acervo";-23,072;-1,238;39,038
"técnica";-13,033;-3,274;32,899
"oferecer";7,215;-2,824;-1,069
"curso";13,569;-15,078;0,072
"paulo";-6,894;-0,662;13,215
"mulher";-21,606;18,604;0,083
"escrita";-5,99;-4,13;22,557
"eficaz";51,443;-19,857;-7,803
"precisar";0,59;0,016;-0,889
"movimento";-4,76;11,622;-1,808
"jurídico";-13,613;5,007;2,236
"concepção";-0,009;2,441;-2,46
"compreensão";5,535;-0,398;-3,255
"avanço";8,845;0,094;-11,979
"possibilitar";-3,083;3,893;-0,067
"pensar";-6,95;20,947;-4,466
"organização";-10,849;3,419;2,231
"negativo";57,456;-12,447;-17,762
"facilitar";7,062;-8,251;0,073
"eja";0,267;2,379;-4,805
"autoria";4,749;-12,337;2,124
"publicar";-4,06;-8,53;27,49
"patrimônio";-24,061;2,817;11,379
"incluir";4,24;-5,6;0,129
"escrever";-5,37;19,99;-5,459
"documental";-16,244;-12,72;64,899
"cidade";-10,942;31,793;-6,454
"ampliar";22,104;-4,071;-7,819
"pretender";-6,155;15,992;-2,754
"preservação";-15,679;0,016;16,299
"desenvolvido";-0,08;-1,486;2,563
"conjunto";-0,149;-0,519;1,385
"básico";36,4;-11,901;-7,122
"literário";-1,806;0,758;0,236
"consideração";0,657;0,211;-1,808
"aprender";46,662;-16,381;-8,24
"português";-1,737;-6,853;17,518
"nativo";46,662;-13,58;-10,612
"econômico";1,804;3,59;-11,829
"constante";35,101;-6,066;-13,024
"biblioteca";-12,079;-1,841;26,116
"aberto";0,073;-24,208;24,719
"verificar";0,323;-1,765;0,674
"síndroma";22,971;-8,799;-3,53
"relato";-0,027;-4,534;5,998
"inovador";60,132;-17,012;-14,145
"indivíduo";0,183;2,54;-4,636
"hoje";-2,627;10,518;-3,09
"computacional";-21,36;-0,823;34,073
"caráter";-2,627;-9,879;25,661
"adaptação";19,351;-8,312;-2,412
"web";-9,329;-6,853;36,171
"seguir";-0,426;-0,827;2,752
"relacionar";-6,484;19,888;-4,338
"positivo";48,158;-11,995;-13,024
"pensamento";-9,084;40,186;-12,95
"participação";0,019;8,534;-10,671
"linguístico";-8,368;-12,158;45,868
"linguagem";-7,421;3,06;1,001
"integrar";5,71;-14,073;2,224
"global";-0,15;11,452;-10,287
"exemplo";-0,652;1,117;-0,078
"especialmente";6,365;-0,831;-2,833
"efeito";8,035;-0,831;-4,046
"diálogo";-0,006;0,041;-0,018
"comum";-6,484;0,657;3,299
"atender";23,594;-11,884;-2,053
"periódico";-24,061;-23,489;107,021
