"";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol"
"1";2;4;6;9;11;12;15;16;19;21;22;25;26;29;30;32;34
"2";2;4;6;9;11;12;15;16;19;21;22;25;26;29;30;32;35
"3";2;4;6;9;11;12;15;16;19;21;22;25;26;29;30;32;35
"4";2;4;6;9;11;12;15;16;19;21;22;25;26;29;30;32;35
"5";2;4;6;9;11;12;15;16;19;21;22;25;26;29;30;32;34
"6";2;4;6;9;11;12;15;16;19;21;22;25;26;29;30;32;35
"7";2;4;6;9;11;12;15;16;19;21;22;25;26;29;30;32;35
"8";2;4;6;9;11;12;15;16;19;21;22;25;26;29;30;32;34
"9";2;4;6;9;11;12;15;16;19;21;22;25;26;29;30;32;34
"10";2;4;6;9;11;12;15;16;19;21;22;25;26;29;30;32;35
"11";2;4;6;9;11;12;15;16;19;21;22;25;26;29;30;32;34
"12";2;4;6;9;11;12;15;16;19;21;22;25;26;29;30;32;34
"13";2;4;6;9;11;12;15;16;19;21;22;25;26;29;30;32;34
"14";2;4;6;9;11;12;15;16;19;21;22;25;26;29;30;32;34
"15";2;4;6;9;11;12;15;16;19;21;22;25;26;29;30;32;34
"16";2;4;6;9;11;12;15;16;19;21;22;25;26;29;30;32;34
"17";2;4;6;9;11;12;15;16;19;21;22;25;26;29;30;32;34
"18";2;4;6;9;11;12;15;16;19;21;22;25;26;29;30;32;34
"19";2;4;6;9;11;12;15;16;19;21;22;25;26;29;30;32;34
"20";2;4;6;9;11;12;15;16;19;21;22;25;26;29;30;32;35
"21";2;4;6;9;11;12;15;16;19;21;22;25;26;29;30;32;34
"22";2;4;6;9;11;12;15;16;19;21;22;25;26;29;30;32;34
"23";2;4;6;9;11;12;15;16;19;21;22;25;26;29;30;32;34
"24";2;4;6;9;11;12;15;16;19;21;22;25;26;29;30;32;35
"25";2;4;6;9;11;12;15;16;19;21;22;25;26;29;30;32;35
"26";2;4;6;9;11;12;15;16;19;21;22;25;26;29;30;32;34
"27";2;4;6;9;11;12;15;16;19;21;22;25;26;29;30;32;34
