"";"V1"
"1";2
"2";3
"3";3
"4";3
"5";2
"6";3
"7";3
"8";2
"9";2
"10";3
"11";2
"12";2
"13";2
"14";2
"15";2
"16";2
"17";2
"18";2
"19";2
"20";3
"21";2
"22";2
"23";2
"24";3
"25";3
"26";2
"27";2
"28";3
"29";2
"30";3
"31";2
"32";3
"33";1
"34";2
"35";2
"36";2
"37";2
"38";2
"39";2
"40";1
"41";2
"42";2
"43";1
"44";2
"45";2
"46";3
"47";2
"48";1
"49";2
"50";2
"51";3
"52";3
"53";0
"54";3
"55";3
"56";2
"57";2
"58";2
"59";2
"60";2
"61";3
"62";3
"63";2
"64";1
"65";2
"66";2
"67";2
"68";2
"69";2
"70";2
"71";2
"72";1
"73";1
"74";1
"75";0
"76";2
"77";3
"78";3
"79";3
"80";0
"81";0
"82";3
"83";3
"84";2
"85";2
"86";2
"87";3
"88";3
"89";3
"90";2
"91";3
"92";2
"93";2
"94";2
"95";3
"96";2
"97";3
"98";2
"99";2
"100";2
"101";2
"102";1
"103";1
"104";3
"105";2
"106";2
"107";2
"108";2
"109";2
"110";2
"111";3
"112";2
"113";1
"114";3
"115";2
"116";2
"117";3
"118";3
"119";2
"120";3
"121";3
"122";3
"123";2
"124";2
"125";2
"126";2
"127";2
"128";2
"129";2
"130";2
"131";2
"132";2
"133";2
"134";2
"135";2
"136";2
"137";2
"138";3
"139";3
"140";2
"141";2
"142";3
"143";2
"144";2
"145";2
"146";2
"147";2
"148";2
"149";2
"150";2
"151";1
"152";2
"153";1
"154";3
"155";2
"156";2
"157";2
"158";3
"159";3
"160";3
"161";3
"162";3
"163";2
"164";1
"165";1
"166";3
"167";2
"168";3
"169";2
"170";2
"171";2
"172";3
"173";3
"174";3
"175";3
"176";2
"177";3
"178";2
"179";2
"180";2
"181";1
"182";2
"183";2
"184";2
"185";2
"186";2
"187";2
"188";2
"189";2
"190";2
"191";2
"192";2
"193";3
"194";3
"195";3
"196";1
"197";2
"198";3
"199";3
"200";3
"201";3
"202";3
"203";2
"204";3
"205";3
"206";3
"207";3
"208";3
"209";3
"210";3
"211";3
"212";3
"213";3
"214";3
"215";3
"216";3
"217";2
"218";2
"219";3
"220";3
"221";2
"222";2
"223";2
"224";2
"225";3
"226";1
"227";1
"228";3
"229";3
"230";3
"231";3
"232";3
"233";3
"234";3
"235";2
"236";3
"237";3
"238";3
"239";3
"240";2
"241";3
"242";2
"243";2
"244";2
"245";2
"246";3
"247";2
"248";3
"249";3
"250";2
"251";3
"252";2
"253";0
"254";2
"255";1
"256";3
"257";2
"258";3
"259";1
"260";1
"261";2
"262";3
"263";3
"264";3
"265";3
"266";3
"267";2
"268";2
"269";3
"270";1
"271";3
"272";3
"273";3
"274";2
"275";2
"276";2
"277";2
"278";2
"279";2
"280";2
"281";2
"282";2
"283";2
"284";2
"285";2
"286";2
"287";2
"288";2
"289";2
"290";3
"291";2
"292";3
"293";2
"294";2
"295";3
"296";3
"297";3
"298";3
"299";3
"300";2
"301";2
"302";2
"303";2
"304";2
"305";2
"306";2
"307";2
"308";2
"309";2
"310";3
"311";2
"312";2
"313";2
"314";2
"315";3
"316";3
"317";2
"318";2
"319";2
"320";2
"321";3
"322";1
"323";3
"324";3
"325";3
"326";2
"327";2
"328";2
"329";2
"330";3
"331";3
"332";0
"333";1
"334";3
"335";2
"336";3
"337";3
"338";3
"339";3
"340";2
"341";3
"342";3
"343";3
"344";3
"345";2
"346";3
"347";3
"348";2
"349";2
"350";2
"351";3
"352";3
"353";3
"354";3
"355";2
"356";1
"357";1
"358";2
"359";2
"360";1
"361";1
"362";2
"363";3
"364";3
"365";3
"366";3
"367";3
"368";0
"369";2
"370";3
"371";2
"372";3
"373";3
"374";3
"375";3
"376";2
"377";2
"378";3
"379";2
"380";2
"381";2
"382";1
"383";1
"384";1
"385";2
"386";2
"387";2
"388";2
"389";1
"390";1
"391";1
"392";2
"393";2
"394";1
"395";1
"396";1
"397";1
"398";3
"399";2
"400";3
"401";3
"402";3
"403";1
"404";1
"405";3
"406";2
"407";3
"408";1
"409";1
"410";1
"411";3
"412";2
"413";3
"414";1
"415";3
"416";2
"417";3
"418";3
"419";2
"420";2
"421";1
"422";3
"423";3
"424";2
"425";3
"426";3
"427";3
"428";3
"429";2
"430";2
"431";2
"432";3
"433";3
"434";3
"435";3
"436";3
"437";1
"438";2
"439";1
"440";1
"441";2
"442";1
"443";1
"444";2
"445";3
"446";3
"447";2
"448";3
"449";2
"450";2
"451";1
"452";1
"453";2
"454";2
"455";2
"456";2
"457";3
"458";3
"459";3
"460";3
"461";2
"462";1
"463";2
"464";3
"465";2
"466";2
"467";2
"468";3
"469";3
"470";2
"471";3
"472";2
"473";3
"474";3
"475";3
"476";3
"477";3
"478";2
"479";2
"480";2
"481";2
"482";2
"483";2
"484";2
"485";2
"486";2
"487";2
"488";2
"489";2
"490";2
"491";2
"492";3
"493";2
"494";2
"495";3
"496";2
"497";2
"498";3
"499";3
"500";3
"501";3
"502";2
"503";3
"504";3
"505";3
"506";3
"507";3
"508";3
"509";3
"510";3
"511";2
"512";3
"513";2
"514";3
"515";0
"516";0
"517";0
"518";0
"519";0
"520";0
"521";0
"522";0
"523";0
"524";0
"525";0
"526";0
"527";0
"528";0
"529";0
"530";0
"531";0
"532";0
"533";0
"534";3
"535";0
"536";0
"537";2
"538";2
"539";2
"540";2
"541";2
"542";2
"543";2
"544";2
"545";2
"546";2
"547";2
"548";2
"549";2
"550";1
"551";1
"552";2
"553";1
"554";2
"555";2
"556";1
"557";1
"558";1
"559";2
"560";2
"561";1
"562";1
"563";1
"564";1
"565";1
"566";1
"567";2
"568";1
"569";1
"570";1
"571";1
"572";3
"573";0
"574";1
"575";1
"576";3
"577";1
"578";1
"579";1
"580";3
"581";2
"582";2
"583";2
"584";3
"585";3
"586";3
"587";3
"588";2
"589";2
"590";3
"591";3
"592";3
"593";2
"594";3
"595";3
"596";3
"597";3
"598";3
"599";3
"600";3
"601";3
"602";3
"603";3
"604";3
"605";2
"606";2
"607";2
"608";3
"609";2
"610";2
"611";2
"612";2
"613";3
"614";3
"615";3
"616";3
"617";3
"618";3
"619";3
"620";1
"621";3
"622";3
"623";3
"624";2
"625";3
"626";3
"627";3
"628";3
"629";3
"630";2
"631";3
"632";2
"633";3
"634";3
"635";3
"636";3
"637";3
"638";3
"639";3
"640";3
"641";3
"642";3
"643";3
"644";1
"645";1
"646";2
"647";1
"648";2
"649";1
"650";1
"651";2
"652";2
"653";2
"654";2
"655";3
"656";2
"657";2
"658";1
"659";3
"660";1
"661";2
"662";1
"663";2
"664";3
"665";1
"666";2
"667";3
"668";3
"669";2
"670";3
"671";3
"672";3
"673";3
"674";2
"675";3
"676";3
"677";3
"678";3
"679";3
"680";3
"681";2
"682";3
"683";3
"684";3
"685";3
"686";3
"687";3
"688";3
"689";3
"690";3
"691";3
"692";3
"693";3
"694";3
"695";2
"696";3
"697";3
"698";3
"699";3
"700";3
"701";3
"702";2
"703";2
"704";2
"705";2
"706";1
"707";1
"708";2
"709";3
"710";2
"711";1
"712";2
"713";2
"714";2
"715";2
"716";3
"717";3
"718";1
"719";3
"720";3
"721";3
"722";3
"723";3
"724";3
"725";3
"726";3
"727";3
"728";3
"729";3
"730";1
"731";3
"732";3
"733";3
"734";2
"735";1
"736";3
"737";1
"738";2
"739";2
"740";1
"741";2
"742";3
"743";2
"744";2
"745";3
"746";3
"747";2
"748";3
"749";2
"750";1
"751";1
"752";2
"753";3
"754";3
"755";3
"756";3
"757";2
