"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"3";"***";"";""
"**";"classe";"1";"**";"";""
"****";"1383";"3999";"34.58";"****";""
"452";"542";" 83.39";"660.287";"ensino";"1.293746e-145"
"262";"285";" 91.93";"446.073";"aluno";" 5.160413e-99"
"265";"301";" 88.04";"411.141";"aprendizagem";" 2.069390e-91"
"253";"289";" 87.54";"386.196";"professor";" 5.572260e-86"
"326";"459";" 71.02";"304.346";"educação";" 3.722853e-68"
"148";"163";" 90.80";"237.351";"aula";" 1.487163e-53"
"335";"539";" 62.15";"209.282";"tecnologia";" 1.969757e-47"
"126";"140";" 90.00";"196.935";"docente";" 9.742158e-45"
"179";"233";" 76.82";"195.131";"desafio";" 2.412550e-44"
"166";"213";" 77.93";"186.889";"matemática";" 1.518433e-42"
"158";"200";" 79.00";"183.587";"formação";" 7.986885e-42"
"136";"164";" 82.93";"176.662";"educacional";" 2.595778e-40"
"119";"137";" 86.86";"171.370";"pedagógico";" 3.714787e-39"
"218";"349";" 62.46";"131.380";"processo";" 2.044720e-30"
"102";"123";" 82.93";"131.095";"remoto";" 2.360357e-30"
" 75";" 79";" 94.94";"129.758";"sala";" 4.629235e-30"
"126";"167";" 75.45";"128.646";"recurso";" 8.103952e-30"
"104";"134";" 77.61";"113.464";"estudante";" 1.707588e-26"
"119";"162";" 73.46";"112.776";"necessidade";" 2.415774e-26"
"200";"333";" 60.06";"104.213";"uso";" 1.816776e-24"
"128";"186";" 68.82";"101.052";"escola";" 8.960422e-24"
"188";"317";" 59.31";" 93.014";"prático";" 5.192083e-22"
" 78";"100";" 78.00";" 85.457";"promover";" 2.367926e-20"
" 64";" 79";" 81.01";" 76.792";"inclusão";" 1.899756e-18"
" 65";" 82";" 79.27";" 73.888";"dificuldade";" 8.269649e-18"
" 58";" 71";" 81.69";" 70.899";"enfrentar";" 3.759065e-17"
" 72";" 97";" 74.23";" 69.058";"diante";" 9.560023e-17"
"114";"180";" 63.33";" 68.863";"tecnológico";" 1.055682e-16"
" 51";" 60";" 85.00";" 68.439";"integração";" 1.308764e-16"
" 41";" 44";" 93.18";" 67.526";"discente";" 2.079664e-16"
"102";"159";" 64.15";" 63.986";"importância";" 1.253206e-15"
" 47";" 55";" 85.45";" 63.791";"educador";" 1.383493e-15"
"151";"265";" 56.98";" 62.931";"contexto";" 2.140798e-15"
" 88";"132";" 66.67";" 62.108";"destacar";" 3.251985e-15"
" 66";" 90";" 73.33";" 61.109";"profissional";" 5.399160e-15"
" 32";" 32";"100.00";" 61.018";"rock";" 5.656838e-15"
" 42";" 48";" 87.50";" 60.132";"inovador";" 8.868769e-15"
" 53";" 67";" 79.10";" 59.701";"essencial";" 1.104164e-14"
" 39";" 44";" 88.64";" 57.456";"negativo";" 3.456215e-14"
" 56";" 75";" 74.67";" 54.281";"qualidade";" 1.737783e-13"
" 43";" 53";" 81.13";" 51.443";"eficaz";" 7.372028e-13"
" 26";" 26";"100.00";" 49.502";"celular";" 1.981811e-12"
" 70";"105";" 66.67";" 49.061";"estratégia";" 2.480998e-12"
" 50";" 67";" 74.63";" 48.296";"ativo";" 3.664491e-12"
" 34";" 39";" 87.18";" 48.158";"positivo";" 3.932640e-12"
" 27";" 28";" 96.43";" 47.672";"acontecer";" 5.039153e-12"
" 47";" 62";" 75.81";" 47.304";"didático";" 6.079549e-12"
" 30";" 33";" 90.91";" 46.662";"aprender";" 8.434223e-12"
" 30";" 33";" 90.91";" 46.662";"nativo";" 8.434223e-12"
" 29";" 32";" 90.62";" 44.782";"tdics";" 2.202864e-11"
" 29";" 32";" 90.62";" 44.782";"ensinar";" 2.202864e-11"
" 28";" 31";" 90.32";" 42.904";"inclusivo";" 5.748176e-11"
" 31";" 36";" 86.11";" 42.633";"tic";" 6.602133e-11"
" 78";"127";" 61.42";" 41.747";"tornar";" 1.038929e-10"
" 73";"117";" 62.39";" 41.201";"pandemia";" 1.373273e-10"
" 23";" 24";" 95.83";" 40.038";"aliar";" 2.490257e-10"
" 31";" 37";" 83.78";" 39.959";"melhorar";" 2.593550e-10"
" 71";"114";" 62.28";" 39.790";"transformação";" 2.827708e-10"
" 35";" 44";" 79.55";" 39.755";"habilidade";" 2.879530e-10"
" 33";" 41";" 80.49";" 38.584";"criança";" 5.244907e-10"
" 79";"132";" 59.85";" 38.515";"contribuir";" 5.434134e-10"
" 22";" 23";" 95.65";" 38.134";"capacitar";" 6.605420e-10"
" 35";" 45";" 77.78";" 37.534";"inicial";" 8.985405e-10"
" 38";" 51";" 74.51";" 36.400";"básico";" 1.606964e-09"
" 30";" 37";" 81.08";" 35.689";"aplicativo";" 2.314169e-09"
" 31";" 39";" 79.49";" 35.101";"constante";" 3.129717e-09"
" 77";"131";" 58.78";" 35.045";"ambiente";" 3.221252e-09"
" 25";" 29";" 86.21";" 34.411";"isolamento";" 4.462818e-09"
" 34";" 45";" 75.56";" 33.771";"educativo";" 6.199957e-09"
" 31";" 40";" 77.50";" 32.894";"line";" 9.733177e-09"
" 31";" 40";" 77.50";" 32.894";"on";" 9.733177e-09"
" 17";" 17";"100.00";" 32.293";"gamificação";" 1.325585e-08"
" 17";" 17";"100.00";" 32.293";"ancoragem";" 1.325585e-08"
" 26";" 32";" 81.25";" 31.052";"enfatizar";" 2.512052e-08"
" 20";" 22";" 90.91";" 31.022";"espectro";" 2.551122e-08"
" 16";" 16";"100.00";" 30.386";"tea";" 3.540347e-08"
" 16";" 16";"100.00";" 30.386";"objetivação";" 3.540347e-08"
" 24";" 29";" 82.76";" 29.967";"continuar";" 4.394385e-08"
" 21";" 24";" 87.50";" 29.885";"ressaltar";" 4.585277e-08"
" 21";" 24";" 87.50";" 29.885";"preparação";" 4.585277e-08"
" 45";" 69";" 65.22";" 29.124";"escolar";" 6.789072e-08"
" 22";" 26";" 84.62";" 28.956";"gestor";" 7.403679e-08"
" 15";" 15";"100.00";" 28.480";"autista";" 9.467490e-08"
" 52";" 84";" 61.90";" 28.310";"covid";" 1.033648e-07"
" 20";" 23";" 86.96";" 28.047";"educar";" 1.183959e-07"
" 65";"112";" 58.04";" 28.013";"fundamental";" 1.205014e-07"
" 24";" 30";" 80.00";" 27.559";"cidadão";" 1.523970e-07"
" 21";" 25";" 84.00";" 27.155";"melhoria";" 1.877909e-07"
" 25";" 32";" 78.12";" 27.032";"adequado";" 2.000651e-07"
" 16";" 17";" 94.12";" 26.747";"preparar";" 2.319335e-07"
" 38";" 57";" 66.67";" 26.309";"perfil";" 2.909417e-07"
" 58";" 99";" 58.59";" 25.850";"mudança";" 3.689263e-07"
" 67";"119";" 56.30";" 25.573";"mostrar";" 4.259256e-07"
" 24";" 31";" 77.42";" 25.339";"superar";" 4.807884e-07"
" 32";" 46";" 69.57";" 25.171";"aprendizado";" 5.245975e-07"
" 40";" 62";" 64.52";" 24.941";"médio";" 5.912557e-07"
" 15";" 16";" 93.75";" 24.857";"capacitação";" 6.173549e-07"
" 13";" 13";"100.00";" 24.670";"matemático";" 6.802726e-07"
" 13";" 13";"100.00";" 24.670";"emergencial";" 6.802726e-07"
" 26";" 35";" 74.29";" 24.601";"transformar";" 7.051058e-07"
" 48";" 79";" 60.76";" 24.408";"investigar";" 7.793381e-07"
" 18";" 21";" 85.71";" 24.396";"tdic";" 7.844821e-07"
" 54";" 92";" 58.70";" 24.199";"disciplina";" 8.685731e-07"
" 42";" 67";" 62.69";" 23.788";"melhor";" 1.075491e-06"
" 32";" 47";" 68.09";" 23.594";"atender";" 1.189541e-06"
" 19";" 23";" 82.61";" 23.584";"engajamento";" 1.195982e-06"
" 33";" 49";" 67.35";" 23.538";"surgir";" 1.224750e-06"
" 24";" 32";" 75.00";" 23.291";"presencial";" 1.392182e-06"
" 14";" 15";" 93.33";" 22.971";"síndroma";" 1.644753e-06"
" 14";" 15";" 93.33";" 22.971";"viabilizar";" 1.644753e-06"
" 12";" 12";"100.00";" 22.767";"insights";" 1.828983e-06"
" 12";" 12";"100.00";" 22.767";"estimulante";" 1.828983e-06"
" 12";" 12";"100.00";" 22.767";"atrativo";" 1.828983e-06"
" 88";"171";" 51.46";" 22.495";"ferramenta";" 2.107364e-06"
" 21";" 27";" 77.78";" 22.418";"promoção";" 2.193005e-06"
" 93";"183";" 50.82";" 22.346";"abordagem";" 2.277069e-06"
" 32";" 48";" 66.67";" 22.104";"ampliar";" 2.582153e-06"
" 83";"160";" 51.88";" 22.027";"jogo";" 2.688503e-06"
" 22";" 29";" 75.86";" 22.001";"xxi";" 2.724685e-06"
" 22";" 29";" 75.86";" 22.001";"planejamento";" 2.724685e-06"
" 18";" 22";" 81.82";" 21.816";"acreditar";" 3.000435e-06"
" 19";" 24";" 79.17";" 21.213";"individual";" 4.109121e-06"
" 26";" 37";" 70.27";" 21.023";"ferramentas_digitais";" 4.538281e-06"
" 26";" 37";" 70.27";" 21.023";"bom";" 4.538281e-06"
" 46";" 78";" 58.97";" 20.919";"futuro";" 4.791172e-06"
" 27";" 39";" 69.23";" 20.898";"implementação";" 4.844810e-06"
" 11";" 11";"100.00";" 20.864";"instrucional";" 4.929894e-06"
" 11";" 11";"100.00";" 20.864";"equidade";" 4.929894e-06"
" 11";" 11";"100.00";" 20.864";"supervisionar";" 4.929894e-06"
" 11";" 11";"100.00";" 20.864";"inovar";" 4.929894e-06"
" 11";" 11";"100.00";" 20.864";"circunstância";" 4.929894e-06"
" 20";" 26";" 76.92";" 20.737";"currículo";" 5.269700e-06"
" 20";" 26";" 76.92";" 20.737";"motivação";" 5.269700e-06"
" 32";" 49";" 65.31";" 20.697";"oportunidade";" 5.380248e-06"
" 21";" 28";" 75.00";" 20.359";"pai";" 6.417433e-06"
" 17";" 21";" 80.95";" 20.063";"infantil";" 7.492621e-06"
" 17";" 21";" 80.95";" 20.063";"paciente";" 7.492621e-06"
" 17";" 21";" 80.95";" 20.063";"pandêmico";" 7.492621e-06"
" 14";" 16";" 87.50";" 19.883";"despertar";" 8.232547e-06"
" 14";" 16";" 87.50";" 19.883";"multimídia";" 8.232547e-06"
" 14";" 16";" 87.50";" 19.883";"licenciatura";" 8.232547e-06"
" 14";" 16";" 87.50";" 19.883";"distanciamento";" 8.232547e-06"
" 37";" 60";" 61.67";" 19.749";"inovação";" 8.828970e-06"
" 24";" 34";" 70.59";" 19.649";"benefício";" 9.304034e-06"
" 24";" 34";" 70.59";" 19.649";"falta";" 9.304034e-06"
" 18";" 23";" 78.26";" 19.507";"propiciar";" 1.002427e-05"
" 34";" 54";" 62.96";" 19.487";"dia";" 1.012868e-05"
" 43";" 73";" 58.90";" 19.441";"período";" 1.037752e-05"
" 27";" 40";" 67.50";" 19.351";"adaptação";" 1.087906e-05"
" 12";" 13";" 92.31";" 19.209";"notável";" 1.171349e-05"
" 12";" 13";" 92.31";" 19.209";"envolvente";" 1.171349e-05"
" 12";" 13";" 92.31";" 19.209";"desafiador";" 1.171349e-05"
" 60";"111";" 54.05";" 19.131";"atividade";" 1.220367e-05"
" 10";" 10";"100.00";" 18.963";"desmotivação";" 1.332906e-05"
" 10";" 10";"100.00";" 18.963";"desmistificar";" 1.332906e-05"
" 16";" 20";" 80.00";" 18.326";"turma";" 1.861195e-05"
" 16";" 20";" 80.00";" 18.326";"aliado";" 1.861195e-05"
" 47";" 83";" 56.63";" 18.204";"vir";" 1.984670e-05"
" 47";" 83";" 56.63";" 18.204";"impacto";" 1.984670e-05"
