"";"*HDLENS2014";"*HDLENS2015";"*HDLENS2016";"*HDLENS2017";"*HDLENS2018";"*HDLENS2019";"*HDLENS2020";"*HDLENS2021";"*HDLENS2022";"*HDLENS2023";"*HDLENS2024"
"em";100;31;182;139;246;423;436;452;765;2489;867
"âmbito";1;0;0;1;4;8;5;2;10;28;5
"internacional";4;0;0;2;5;2;3;4;13;7;6
"de";234;130;517;464;739;1252;1288;1357;1987;6882;2432
"humanidades_digitais";12;7;7;16;20;60;50;16;25;34;12
"existir";1;0;2;0;1;3;4;0;3;18;3
"uma";17;9;42;34;58;107;100;107;174;583;246
"importante";4;1;3;0;3;6;5;4;11;54;19
"discussão";6;1;0;5;3;5;9;13;13;44;9
"centrar";2;0;0;0;1;0;3;3;0;20;6
"torno";2;0;2;1;0;2;5;4;4;3;6
"estrutura";2;0;5;2;5;2;2;5;4;8;6
"dinâmico";2;0;0;0;1;4;1;1;3;14;5
"acadêmico";7;0;2;5;7;4;5;8;16;31;26
"institucional";4;2;1;1;4;6;3;1;5;6;0
"que";42;18;91;69;124;213;176;223;309;1238;370
"favorecer";2;0;0;1;1;2;2;2;6;5;4
"país";4;0;0;0;1;10;10;1;9;27;15
"outro";8;1;5;2;7;23;16;22;25;98;25
"parte";4;2;5;3;7;9;11;16;11;49;21
"mundo";5;0;6;5;4;4;3;6;18;80;9
"um";25;13;37;27;39;87;88;90;124;455;169
"atual";2;1;1;7;5;7;5;3;13;20;16
"identificar";1;0;1;3;1;16;5;7;11;49;19
"digital";10;13;29;15;64;95;68;69;140;420;224
"trabalhar";2;0;2;0;1;3;2;4;3;8;3
"ir";7;3;24;17;10;30;39;59;105;329;116
"modelo";4;0;2;5;8;5;9;5;9;40;12
"contexto";4;3;7;7;21;18;11;12;30;116;46
"10";2;0;2;2;0;0;1;1;1;6;5
"2013";2;0;0;1;0;2;3;0;3;34;5
"ocorrer";3;0;1;1;1;1;0;3;7;13;4
"o";64;36;113;141;206;372;334;370;585;2231;806
"dia";5;0;1;0;1;1;3;2;5;64;3
"evento";3;0;1;1;2;0;2;2;5;8;3
"impulsionar";1;0;0;0;1;0;0;1;1;1;7
"por";27;8;59;42;47;87;94;141;197;653;203
"instituição";2;1;4;7;4;6;7;12;8;51;6
"grupo";11;0;5;3;3;23;5;7;9;26;8
"trabalho";11;1;8;6;10;29;28;23;68;161;61
"buscar";4;0;6;7;8;6;4;5;14;68;18
"discurso";4;0;3;2;2;3;3;4;6;25;6
"a";126;44;243;227;289;513;537;598;895;2998;1325
"prático";6;1;5;6;12;37;21;25;37;129;69
"metodologia";3;0;2;10;6;5;9;7;16;74;52
"desenvolvido";1;2;1;2;3;7;4;10;6;10;5
"português";5;0;0;0;4;6;3;1;13;9;8
"artigo";8;6;15;22;20;38;32;58;71;113;87
"busca";4;2;8;7;11;10;8;20;22;53;12
"apresentar";12;3;12;12;17;25;19;34;48;114;35
"documentação";1;0;0;0;3;6;0;1;1;11;0
"para";16;16;39;35;69;147;114;143;229;857;334
"problematizar";1;0;1;0;2;3;0;2;3;4;3
"se";14;13;45;40;54;93;77;103;145;561;191
"ter";7;3;9;17;10;31;25;46;55;179;80
"distinto";1;0;0;0;1;0;0;0;2;4;2
"estudo";5;4;13;14;12;40;39;34;44;142;85
"caso";1;0;2;2;1;1;11;5;10;42;12
"cenário";2;0;1;3;2;2;3;14;7;11;18
"haver";2;0;7;4;2;4;9;9;10;71;13
"debate";6;0;3;2;2;2;4;6;14;26;8
"forma";4;2;12;10;21;19;24;24;47;177;34
"como";19;15;41;66;54;126;116;115;168;689;254
"humanidade";6;6;11;11;15;23;18;22;34;46;19
"língua";5;1;0;9;4;23;6;3;11;7;23
"inglês";3;2;0;5;0;8;3;3;2;3;8
"desafio";4;0;1;1;3;14;11;11;9;116;65
"ser";25;19;52;43;58;115;90;162;224;854;281
"identificação";2;0;1;0;1;3;1;4;5;11;5
"além";3;1;1;7;5;17;17;16;18;65;33
"intitular";1;0;1;0;1;2;0;2;2;19;0
"ele";4;1;3;3;1;12;8;5;17;60;15
"promover";2;0;0;4;5;8;1;4;6;37;42
"compor";1;0;1;3;1;6;2;5;4;17;3
"estar";5;1;8;8;8;14;11;10;26;133;27
"desenvolver";1;1;1;3;4;15;10;6;12;48;18
"este";10;2;13;17;18;27;18;37;61;168;72
"investigar";2;0;1;1;1;1;7;3;5;51;15
"dentro";2;2;7;7;5;7;4;3;5;43;6
"característica";2;2;2;4;2;5;5;2;8;21;9
"aquele";1;0;3;0;0;1;8;2;2;15;2
"pretender";5;0;6;1;1;1;5;7;14;7;4
"propor";2;0;3;2;1;8;8;8;4;25;6
"conceito";2;5;5;11;15;13;12;15;13;50;20
"teórico";3;2;4;3;10;14;17;10;15;70;27
"mais";4;2;12;13;23;35;40;30;38;166;77
"objetivo";1;0;0;0;2;2;2;2;16;58;10
"dois";7;2;7;6;6;5;8;12;12;24;6
"termo";5;1;2;2;0;5;2;3;4;23;18
"político";4;5;2;1;6;8;2;9;5;30;20
"oferecer";1;1;0;2;1;5;4;3;5;15;19
"seu";7;1;9;8;14;33;35;25;39;135;58
"título";1;0;1;0;2;2;1;1;4;2;1
"direito";5;0;5;7;5;8;0;23;41;64;21
