"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Coord. facteur 6";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"Corr. facteur 6";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"COR -facteur 6";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"CTR -facteur 6";"mass";"chi.distance";"inertie"
"classe 1";-1,14935441958744;0,470236220578727;1,58406289117989;-1,3422683628174;-2,2012290204951;1,33527909840051;-0,325327916569512;0,133101650221445;0,44837334012916;-0,379932736595995;-0,623063903462496;0,377954406159056;0,0719846780944839;0,00654773444410486;0,0499617073911578;0,0323118207329407;0,0785122470445215;0,0276265754005846;0,019305343758833;0,00323148210559049;0,0366702980005393;0,0263298452729686;0,070810890922196;0,0260563572903837;0,0146140166887055;1,22429183856052;0,0219048108687279
"classe 2";-1,09755187750798;0,604547386832394;0,209457602368845;0,574342797979867;-0,0539592541003501;-2,18532645121156;-0,423314145861617;0,233167530332039;0,080785580944301;0,221517940009038;-0,0208115133588787;-0,842857289100393;0,0358017920003376;0,00590258326344195;0,000476438898108059;0,00322661840150765;2,57312774278495e-05;0,0403587884657521;0,00790043900458837;0,0023969656311844;0,000287735446362538;0,00216343309772566;1,90955857913918e-05;0,0313208655608416;0,00655844846716216;1,65776777088478;0,0180238886099209
"classe 3";-0,835339553582056;0,576391749114975;2,13190848431154;0,564824756338114;-3,34677492545941;-1,62330430118347;-0,188060855036495;0,129763668809555;0,47995875533482;0,127159579798698;-0,753462889908245;-0,365456171153275;0,0652734772751482;0,016887794777164;0,155348862650645;0,00982174604924776;0,311557701714954;0,0700908555013299;0,0191011763830709;0,00909430539197977;0,124414540264901;0,00873295999081529;0,306610509103287;0,0721329845802383;0,0273737327679236;0,934427667370978;0,0239015134292798
"classe 4";-1,12484008378763;0,588907949393269;0,804304989956962;1,351811429146;-2,04844261803732;-0,0989271774906757;-0,390619345168359;0,204508037073003;0,279308226138881;0,469438903231519;-0,711355618994611;-0,0343541005052392;0,118228250311086;0,0176100789134345;0,0220872438060694;0,0561982145770836;0,116590219729761;0,000260028981840521;0,0313657617708498;0,00859743903351955;0,0160367292723303;0,0453008654764283;0,104021204185364;0,000242608218106319;0,0247898712629003;0,934934466826752;0,0216688873860757
"classe 5";-1,47066227858976;1,23376275235214;-1,59288332576252;3,95236617624011;0,390001475262559;0,486787562542919;-0,311902061868041;0,261659765071029;-0,337823034461021;0,838228584205542;0,0827125751689328;0,103239232187587;0,223414708886618;0,0854428919887273;0,09576660522607;0,531068814995514;0,00467189610684682;0,00696010236923261;0,0852246020306304;0,0599794369715589;0,0999785900173076;0,61553595107219;0,00599337669976784;0,0093372292605291;0,0394038879516058;0,889217681547757;0,0311569727907499
"classe 6";-1,43345061341153;1,40029236044147;-2,04298998714043;-1,98827600231608;-0,571810943077557;0,514597368831158;-0,401691857858179;0,392400013329839;-0,572501372451885;-0,557169025449981;-0,160236981950713;0,144204181993241;0,330078172090285;0,171165230518534;0,244987607704578;0,209004325186917;0,0156182036642021;0,012095874805776;0,1450991891451;0,138464025893729;0,294735190290538;0,279159786445356;0,0230889636888361;0,0186996999685216;0,0706154150137553;0,713058809420042;0,0359046101257403
"classe 7";-1,12675963796848;0,402040054232807;0,59890743604533;-0,443596843072923;2,12406233990106;-2,505334297276;-0,31524650052751;0,11248336903272;0,16756322022113;-0,124110189708181;0,594273345434487;-0,700946185196864;0,25925171381556;0,0179359544832686;0,026763246131271;0,0132247223365991;0,273948174981238;0,364452778106315;0,0860343029760625;0,0109533692173593;0,0243068394270411;0,0133347836809849;0,305733901978169;0,425344135203252;0,0677655677655678;0,632443132766415;0,0271051642834903
"classe 8";-0,667205475658963;-0,0983469049680136;1,56508146740972;-0,346849608709803;-0,311408599897764;0,184019731938484;-0,375602406546892;-0,055364255135858;0,881060463450851;-0,195258511049511;-0,175307043794084;0,103593655462651;0,120222261980248;0,00141942960715492;0,241712936018076;0,0106929787841045;0,00778756556500436;0,00260043081240025;0,0330017364806245;0,00071703273378066;0,181589814998438;0,00891866817983074;0,00718917064475503;0,00251041994057234;0,0741340264161841;0,549943625016301;0,0224209459915201
"classe 9";-0,517053627761605;-0,225669210154441;1,03682097840386;-0,0444666412586747;1,19488025297707;1,89420899793736;-0,204207775197285;-0,0891269393770009;0,409487321836073;-0,0175618802274731;0,471912051258477;0,748108483257392;0,106603313812789;0,0110349639368745;0,156627271468557;0,000259488894286314;0,169286807417574;0,40682360240086;0,0299900558206799;0,00571282226520707;0,120590652947232;0,000221806744868309;0,160160295978205;0,402496293610587;0,112177587281322;0,452586144901953;0,0229778084304029
"classe 10";1,13010746310309;0,346659527969662;-0,118849743230766;0,0172661324249369;-0,013444057546013;-0,079949209579438;0,948929393442032;0,291083305214086;-0,0997958321990342;0,0144980376681139;-0,011288715267403;-0,0671318059824771;0,945557141570171;0,0483483158149901;0,00382124684707799;7,26422059665862e-05;3,97909070926028e-05;0,00134563559499258;0,52713954371055;0,0496012239324524;0,00583018862753199;0,000123048477741221;7,4601375643437e-05;0,00263824096344151;0,412749076649492;0,332144351451265;0,0455344245615469
