"";"Valeurs propres";"Pourcentages";"Pourcentage cumules"
"facteur 1";0,0816774245930987;26,6082239442068;26,6082239442068
"facteur 2";0,0443842422548597;14,4591466172529;41,0673705614597
"facteur 3";0,0298443648062512;9,72246059658979;50,7898311580495
"facteur 4";0,0268814463070906;8,75722449436382;59,5470556524133
"facteur 5";0,0242871668466751;7,91208069605626;67,4591363484696
"facteur 6";0,0232248469099629;7,56600652786043;75,02514287633
"facteur 7";0,0208140405075785;6,78063312804596;81,805776004376
"facteur 8";0,0198134805697758;6,45467864273637;88,2604546471123
"facteur 9";0,0191661361682331;6,24379191496446;94,5042465620768
"facteur 10";0,0168699341958886;5,49575343792321;100
