"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Coord. facteur 6";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"Corr. facteur 6";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"COR -facteur 6";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"CTR -facteur 6";"mass";"chi.distance";"inertie"
"em";-0,0473326682614574;0,0621937950033207;0,171991067401408;-0,00572198554301769;0,123957286049867;0,12829014952709;-0,182121628766096;0,239302698562903;0,661769016598418;-0,0220164500575812;0,476949719126855;0,493621252397154;0,0583856196237631;0,0547778281059029;0,281679996677413;0,000280819994927897;0,119070138259742;0,121961109328039;0,0001043692984171;0,000180195899862367;0,00137804237639124;1,52526147720203e-06;0,000715805296372881;0,00076672109430059;0,0465855030170383;0,0559833726330645;0,000146005395784611
"âmbito";-0,0954509229931234;1,15443429421119;-1,00894179381153;-0,265634198003615;1,26896026496513;1,08728228459832;-0,0417665441463977;0,505146827304758;-0,441483546213699;-0,116233789153723;0,55526005684103;0,475763063522637;0,00431868473577984;0,343286283458243;0,176312769143795;0,0110080350759525;0,226966679740127;0,159340687142843;4,43129388244423e-06;0,000648199554190088;0,000495110929515114;3,43192872914864e-05;0,000783188560028144;0,000574982878495322;0,000486373930357333;0,415102547949793;8,38071528895341e-05
"internacional";-1,81631960990497;-0,0762914860362352;1,48568630735887;1,34603541402966;0,905524014761662;3,48103945772247;-0,403511800649474;-0,016948842448668;0,330058627244579;0,299033920402085;0,201170335735645;0,773344345377052;0,278745133363283;0,000267240129309957;0,068145517858606;0,0503832662662362;0,0206014370641798;0,291133020890848;0,00115327450158046;2,03469957833193e-06;0,000771618067105821;0,000633375294087609;0,00028664745565838;0,00423609838802118;0,000349581262444333;0,983194957775945;0,000337930531742115
"de";-0,130451436088225;0,122904367481766;0,111694860166109;0,0648590977758343;0,0602317355887897;-0,0834199295515661;-0,53528363872077;0,504315621300031;0,458319455645451;0,266137460059197;0,24714992459439;-0,342298442785969;0,458892298826623;0,221347411275092;0,1229248600902;0,0373340790587525;0,0290896580895379;0,0533584865204101;0,00223502324549125;0,00198389620965436;0,00163851602428857;0,000552492162662823;0,000476469461802612;0,000913953189996518;0,131336160381804;0,0550357003525811;0,000397807814740436
"humanidades_digitais";-2,78515269271036;2,39258799635794;-0,869114443262376;-1,28560871810924;0,425483609550471;-1,32429062967179;-0,659690941282305;0,566708113185038;-0,205858345453891;-0,304509130716598;0,10077999802998;-0,313671323768379;0,580846735784528;0,232930386302495;0,020667015848783;0,0407316259766788;0,00403091856252;0,0373405723275442;0,0152682090809307;0,0112674572216032;0,00148677076673204;0,00325317702494435;0,000356332757413321;0,00345188795924838;0,00196829449941483;1,04440574234086;0,00214698287698047
"existir";0,471598505209882;1,04318851625255;-0,149363043811875;-0,647984368124005;0,115355680104841;-1,20040186985726;0,263339102777736;0,582513143835615;-0,0834038477879945;-0,361832406656657;0,0644142442427907;-0,670300579600528;0,0732543142627216;0,194778374475306;0,00268494245946615;0,0455164122092828;0,0013032902806028;0,134956099753183;5,91565991371942e-05;0,000289456931705821;5,93396075559847e-06;0,000111683088981026;3,53945444527354e-06;0,000383276053079264;0,000265985743164166;0,497974190076719;6,59586908135345e-05
"uma";-0,0866791318036544;-0,207047811744362;-0,091242584431141;-0,00874440505138735;0,0492563568097236;0,0261826414275549;-0,348405618586793;-0,83222592828041;-0,366748355788782;-0,0351480199179111;0,197985271731806;0,105240779331604;0,157922918865603;0,48964815367757;0,0639398359784583;0,000528965303224159;0,0151640584997472;0,00409726258431438;8,4333459348848e-05;0,000481185021249876;9,34471296991803e-05;8,58284645030095e-07;2,72329935515053e-05;7,69480690808307e-06;0,0112245983615278;0,062336582507209;4,36171001404976e-05
"importante";0,624875310123769;-0,311834362007849;-0,264558152745118;-0,314857069428048;-0,328673085332717;0,169924060492982;0,701383148405421;-0,350014415776389;-0,296949850798138;-0,35340721432794;-0,368914821328313;0,19072904723151;0,285406459440689;0,0386235137957982;0,0186930286263455;0,0238481426748307;0,0234790311327836;0,00600119372950313;0,000326414716248312;8,12888424769551e-05;5,85093534284044e-05;8,28723964446832e-05;9,03048931682246e-05;2,41375260041835e-05;0,000835955192801666;0,334281609057728;9,34131393686611e-05
"discussão";-0,127482452537717;0,532795905129267;1,36885278897018;-0,384775719732299;0,109863725034107;0,491129857447506;-0,079440854042445;0,332012452625699;0,853002373656102;-0,239773483972524;0,0684617213683713;0,306048201495269;0,00561904165840801;0,0533347130877106;0,236720149779362;0,0168471850610742;0,00124092316870836;0,0237140063005986;1,33387425420893e-05;0,000232989219707504;0,00153789810048268;0,000121514859373451;9,90655626331021e-06;0,00019797335569629;0,000820756007477999;0,486038085692796;0,000193889670940245
"centrar";1,14969122149335;-0,414265805404022;0,14857345982819;-0,0959980533988051;-0,150761350040166;-1,292512460738;0,640895620974195;-0,230932563143279;0,0828223074306771;-0,0535141357045643;-0,084041947304248;-0,720511351792002;0,24595622256624;0,0173532303709271;0,00150085301591244;0,000564378983962736;0,00125762233138147;0,0883925546762908;0,000351577270129498;4,56474511988091e-05;5,87138870234037e-06;2,45122519852108e-06;6,04558587773525e-06;0,000444352713363924;0,000265985743164166;0,662526609400552;0,000116752183254546
"torno";-2,03818629517918;-0,95526675979877;2,47589521637369;-1,62023890090725;-0,476419978005485;-1,2643770255012;-0,515252474863251;-0,241490958557174;0,62590507097217;-0,409595582865395;-0,120438731887382;-0,319633878949451;0,428918234856687;0,0511991631313728;0,231265889877572;0,0892062867805819;0,00696853533189967;0,0469343461724434;0,000915537350795911;0,000201111842361017;0,00135099217660999;0,000578557360086797;5,00228281719913e-05;0,000352323412945472;0,000220388187193166;0,889421533308677;0,000174342629561515
"estrutura";-1,66528893296087;0,356510846739632;1,52672173049491;2,40615630411743;-2,9802800107072;-0,131645336311062;-0,373115464414238;0,0798778563389979;0,342068860382143;0,539110126233645;-0,667745121143864;-0,0294957288332768;0,294548268104465;0,007335834951218;0,0904601619012735;0,202383708309497;0,280521558177582;0,000523406441352584;0,000864078826318297;3,96022322858312e-05;0,000726263044221879;0,00180393897947811;0,00276750434416319;5,39989267452891e-06;0,000311583299135166;0,876924849300342;0,000239606681897296
"dinâmico";0,152097992499075;0,208396617848073;-1,30324081811685;-1,4155362191117;-0,567101756037276;1,31602484224576;0,0630343646986203;0,0863663497167744;-0,540105465361782;-0,586644339044354;-0,235025448554155;0,545403581569745;0,00576675921618282;0,00588292025778334;0,154701493609967;0,164390767344192;0,0238386501225941;0,122761971359098;5,45003099866026e-06;1,02313594170048e-05;0,000400130223049428;0,000472056498534255;7,57659359864834e-05;0,000408018808593981;0,000235587372516833;0,572411816469643;7,71914483049592e-05
"acadêmico";-0,7575994545076;-1,14024770268368;0,401903366993109;0,765732511044008;-0,788889986097932;1,26481287366713;-0,344217860274923;-0,518075378837585;0,182606146560085;0,347913141867063;-0,358434818545952;0,574671983237953;0,143989805311543;0,177246482077384;0,0148066234423148;0,0484124662264862;0,0464258801039105;0,1141184376254;0,000484164117878753;0,00109676025873399;0,000136256297177847;0,000494615209141882;0,000524984136066003;0,0013494781222831;0,000843554785463499;0,570590844345909;0,00027463943119559
"institucional";-2,44807318135066;2,82662372348967;-0,193877893150101;-0,0407204658498514;-0,821414398707474;1,18158948916541;-0,610247597182282;0,704611426054803;-0,0483292408670299;-0,0101506632360169;-0,204759468352823;0,294542725320492;0,258161245847697;0,187027310864494;0,000591642200558318;2,35081431909354e-05;0,00864254599588689;0,0171011894610486;0,00150297946545373;0,00200373485969952;9,42672500058227e-06;4,15843320626466e-07;0,000169211111176954;0,000350136585882263;0,0002507865578405;1,37698715740382;0,000475514795226063
"que";0,0761929830502497;0,292512477137334;0,0388672556930767;0,0641686610279695;-0,173824587371734;0,0612273266630313;0,210544562603025;0,808301618984918;0,107402138909325;0,177317675829091;-0,480330605952212;0,169189867564559;0,0793243787946537;0,635319655008941;0,00754231705901606;0,0185171129664879;0,122764828308741;0,0145652567682792;0,000126752313496062;0,00186816285231232;3,29832689082722e-05;8,99025261652897e-05;0,000659702841895354;8,18495951587276e-05;0,0218336297174471;0,0773148032241639;0,000130512242073469
"favorecer";-1,41380451875243;-0,411066076856195;1,1701271369589;-0,727042631990397;0,565579238180289;2,47199861424664;-0,436387187771145;-0,126880319653869;0,36117333327155;-0,224410153847852;0,174572601754756;0,763011087556269;0,274044135424957;0,0125890173652974;0,0685911665605305;0,02385130428261;0,013040778544337;0,238225941637879;0,00037975985614822;3,21035899605473e-05;0,000260133585002892;0,000100426904976883;6,07739187034708e-05;0,00116098542946007;0,000189989816545833;0,771845056262893;0,000113185443526946
"país";-0,515995555370907;-0,265960602036945;-1,05168078483387;-2,01971271140369;1,01998308503123;-0,232437402573867;-0,20059811448728;-0,103394679937046;-0,408850774554698;-0,785182270460338;0,3965279962908;-0,0903622215488322;0,0617926273950901;0,008920847788139;0,0937935389815726;0,311583559065755;0,07179686816223;0,00356539451493607;0,0001558019759968;4,13919278750077e-05;0,000647215512558599;0,00238704297279827;0,000608789255838286;3,16149913431293e-05;0,000585168634961166;0,593237570472503;0,000205938874626093
"outro";-0,0451505744683295;0,56054670300689;0,133050916114201;-0,946005740154987;-0,040749849978135;0,359394926361021;-0,0387204857795238;0,480716821394194;0,114102559403009;-0,811280969076323;-0,0349464875071053;0,30821193969871;0,00233668289563905;0,195714768420345;0,00741428475853944;0,337606934166498;0,000565978675089799;0,0420986265129284;3,59422168740048e-06;0,000553989973480761;3,12114566647526e-05;0,00157785046748313;2,92772531570075e-06;0,000227731015744974;0,00176310549754533;0,266940462311169;0,000125633979429308
