"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Coord. facteur 6";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"Corr. facteur 6";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"COR -facteur 6";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"CTR -facteur 6";"mass";"chi.distance";"inertie"
"classe 1";0,190663214886727;-0,879240671563054;1,50567148378413;4,06911846180863;2,21018698666754;1,4498631924818;0,0369532763648839;-0,170409502151836;0,291820813406798;0,788653748285944;0,428366062037284;0,281004362980469;0,00535794722615523;0,0483362591492251;0,105781701089844;0,495357089718583;0,116460475393188;0,0446118975131498;0,000545316102678189;0,0115965829142886;0,0340075190078698;0,248379166680736;0,0732778188566816;0,0315332365058275;0,0150008026970621;0,123108252958222;0,000227346794585647
"classe 2";-0,882310719530755;-1,49837966082959;-5,11562537254905;3,71089378619036;-2,37742297670939;-0,501456583431573;-0,126215064019874;-0,214344086081448;-0,731793198932641;0,530845524628859;-0,340091746099698;-0,0717336572932765;0,0427291739999141;0,052277885603785;0,454741237579161;0,153423378619807;0,050182259590848;0,0019873762667959;0,00520897761080387;0,0150228772228177;0,175108345585249;0,0921438655672913;0,0378200667241196;0,00168258128546909;0,00669128270990528;0,201733851115483;0,000272312099192109
"classe 3";-0,952050634123867;-1,75152627031367;1,73924696678707;2,76030611449201;-1,64323492986825;-2,00888685927929;-0,206023493154528;-0,379029799075786;0,376372561198535;0,597329477551144;-0,355595583040121;-0,434722559143949;0,140746728670349;0,202089810457076;0,148705219790372;0,240151785054267;0,0678224458533509;0,0902321301981438;0,0266929027449987;0,0903460192512227;0,0890836945425475;0,224383132010847;0,079519753830879;0,118846573971961;0,0294493498153797;0,119938983638568;0,000423639492859946
"classe 4";-0,378370373195364;-0,513430639618641;1,57289748781845;0,799078655247611;0,28612940663036;-2,54076593311731;-0,119313620731997;-0,161902920913987;0,495990456987977;0,251977888231803;0,0902267670025497;-0,801193762483649;0,0366682348437226;0,0286425850424394;0,200605152141947;0,033196165845832;0,00339185018132318;0,238076818975485;0,00368287392572721;0,00678135015525459;0,0636434102924093;0,0164259942159124;0,00210609323858467;0,166066457259395;0,0257248354471023;0,0933881116109601;0,000224355020692799
"classe 5";0,460441844745285;0,241631757652746;2,48783569223438;-0,747222427461048;2,12892658500518;1,41968207113347;0,125011712376475;0,0656039413737854;0,675456854208336;-0,202873731501721;0,578011666299635;0,385449082806007;0,0584883582996353;0,00683314719870088;0,540566013358099;0,0312660318508071;0,202254012663704;0,080063412096598;0,00826924803077017;0,00227732216988154;0,241412546124687;0,0217779123259345;0,176781908672161;0,0786137735760867;0,0390046556429604;0,0899828080696751;0,000315817020478302
"classe 6";-1,99260308551378;0,353039825524913;1,33551367017551;-1,55028308841176;-0,893529310492974;-0,551908592025464;-0,650431992055775;0,115240410225494;0,435942723980073;-0,506048457305306;-0,291668749089744;-0,180155800999004;0,731664813294157;0,00974340739484205;0,104052551970505;0,0898971036681134;0,0237981991511224;0,00808233637773282;0,285078132333265;0,00894890108142482;0,128061617656934;0,172561666731634;0,0573244523590114;0,0218703945639561;0,0717996468132927;0,110099205753268;0,0008703434794475
"classe 7";-1,49805934983863;-0,830991072691292;-1,27102437386119;0,0231228832959687;2,60816809108954;-0,514205043447691;-0,439509931859697;-0,243801308522195;-0,372901004227851;0,00678393473723565;0,765200510992359;-0,150860660915705;0,52974844595264;0,0691508078586226;0,120727135969703;2,56182072562662e-05;0,259739931857506;0,00898703337621191;0,155712856111599;0,0479136380803005;0,112091889365526;3,70979922516273e-05;0,471995204693117;0,0183459031149115;0,0693851340504094;0,0972777789555402;0,000656589183749817
"classe 8";-0,954841024697914;-1,25896584329441;-1,12175389419514;-0,988922625480931;-0,768145110826876;0,913240968840391;-0,38480787400089;-0,507372386676757;-0,452074973751798;-0,398543006866604;-0,309568063557999;0,368042749086074;0,348970368849255;0,257363643697982;0,152477959548541;0,0759808497919012;0,036531614713669;0,0459652072473089;0,0699518194090014;0,121608734597951;0,0965455022388701;0,0750345877436468;0,0452713469003684;0,0639893423312228;0,0767249959865147;0,0763934751066845;0,000447764240735181
"classe 9";0,0160242459323903;-0,500994548026771;0,362043845612146;0,55775214491559;-0,678995965981408;1,92493512109101;0,00726887549500946;-0,227259804214819;0,164229358972186;0,253006033205653;-0,30800433038513;0,873183910819716;0,000276562702761507;0,114682538200328;0,0446936922048284;0,0680101939919418;0,0803209267551057;0,574648977826366;2,92566041997224e-05;0,028597937490433;0,01493451253082;0,0354446923542614;0,0525294799398618;0,422183159645072;0,113938031786804;0,045540759444848;0,000236303008229533
"classe 10";1,01734651875904;-0,127843053110833;-0,172334124589543;-0,341758369922222;-0,0533473621490739;-0,435300077403805;0,862850000563564;-0,108428521073907;-0,146163078909034;-0,289858179334701;-0,04524591239231;-0,369194433860498;0,935164725262847;0,00626465944360392;0,00849529300981585;0,0214210984515753;0,000415941376785747;0,0246524358349667;0,415240432437591;0,00655716475087783;0,0119152838527296;0,0468597694090539;0,00114179392436936;0,0760220045279499;0,401200834804945;0,0497215109211734;0,000991860197520386
