"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Coord. facteur 6";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"Corr. facteur 6";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"COR -facteur 6";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"CTR -facteur 6";"mass";"chi.distance";"inertie"
"pre";0,100524437215582;-0,870081259982949;-0,0458846192423002;-0,455638657765867;0,250200684912357;0,531642086845657;0,0874257024135567;-0,756706204161576;-0,039905670485215;-0,396267124744235;0,21759853851164;0,462367004108788;0,0226638066974027;0,720281193676861;0,00149489024805064;0,0945113120437653;0,0227102785081686;0,0912767783248815;0,00193985376209773;0,145326669326789;0,000404166166462205;0,0398535321583346;0,0120171831199161;0,054258077151816;0,191966607802215;0,0315591061463131;0,000191194360837809
"nom";0,130389533570059;-0,224187128863789;0,0282380206236926;-0,431005114700798;0,425223314366899;-0,0183477756123842;0,197701644993642;-0,339921180398717;0,0428155771081794;-0,653506595536958;0,644740006641827;-0,0278196057706853;0,151246480469435;0,189676729760409;0,0022457106765056;0,335442255554565;0,26018955926719;0,0004312197986502;0,00496663396818994;0,0146824334505867;0,000232940601774834;0,0542677154059985;0,0528215118526673;9,8343017848835e-05;0,29213035800289;0,0158459968593857;7,33526523316544e-05
"adj";-0,0427147345951822;1,59550985344656;0,350887856354091;0,530992478198227;0,197714653506525;1,13800966756659;-0,0206307838853424;0,770615088337759;0,169475278286027;0,256463985232992;0,0954941737579833;0,549647135432388;0,00129738540241891;0,76790138924128;0,0277163314917351;0,040695222643644;0,00449621648744023;0,132598168003506;0,000198078778695021;0,276364023197793;0,0133665461324631;0,0306097134001202;0,00424385210900393;0,140596473621761;0,10856317225879;0,0560483305271639;0,000341042016308485
"nr";-4,3786405236912;0,278537211950266;1,22156891363643;-0,763191696638027;-1,57581096936798;-0,883055374389123;-0,883039295488197;0,0561725270839236;0,246353485071767;-0,153912670947823;-0,317793388309537;-0,178085547662243;0,942800976324759;0,00161845555339524;0,0232307307789549;0,00581382320268147;0,0197517506016393;0,00552140181626693;0,674807726649739;0,00273066177450808;0,0525215346128842;0,0205007021495858;0,0873996515490771;0,0274458912776742;0,0351966607802215;0,213132045334678;0,00159881777499288
"ver";0,247855196681513;0,489814427806181;0,25208392604825;0,066882494012641;-0,2940038933596;0,236467192343308;0,346481240093098;0,68472040382454;0,352392656979337;0,0934962420650649;-0,410993333717868;0,330561743878713;0,272004670693745;0,450646849994857;0,0890750550480667;0,00402029878062241;0,0619073739320184;0,0356495565105863;0,0050412076732255;0,0196880034775881;0,00521469411757333;0,00036708230432095;0,00709324064280106;0,00458860126316492;0,0820613260555466;0,0224610120409355;4,13996978908915e-05
"art_def";0,10043703599992;0,985426162887568;-0,267178117309425;0,491430881318193;-0,0208018081961825;-0,0985834408822901;0,0879474173322925;0,862885738660207;-0,233953791558394;0,430320114278382;-0,018215046755237;-0,086324321810284;0,0165140704932175;0,674384259531301;0,0369959017012725;0,0802498731151676;0,000114584124049586;0,00229090110447214;0,0010176668340283;0,0979638901302108;0,00720144446593114;0,0243636713924418;4,36535955862278e-05;0,00098045076617355;0,100882966768342;0,0369390985717117;0,00013765450583847
"conj";0,609834070840287;0,188234640176954;0,685852477063259;0,365878724448008;0,264140288584743;-0,517929108915489;0,524937159726253;0,162029906332442;0,590372805515309;0,314943601218211;0,227368491674945;-0,445826575414233;0,390378729314192;0,0157781021420975;0,156318251362498;0,0285226713713365;0,0118464435323329;0,0405448274033545;0,0172807897889064;0,00164641500312597;0,0218575581084989;0,00622034583979955;0,00324197390335575;0,0124646721183713;0,0464665275325092;0,046130491694832;9,88818051202725e-05
"pro_rel";1,00268168176619;-1,35788832076767;1,0752404543746;-1,63046387086319;-0,717390825753503;-0,990124831248429;0,351034986320222;-0,475391459496334;0,376437532525256;-0,570819107411938;-0,251155758885557;-0,346638881424836;0,293682903049037;0,228493314875239;0,106917595233705;0,157626042005803;0,0243175633019938;0,0412348525329983;0,018548271660747;0,0340177348992691;0,0213298832285195;0,0490455541719594;0,00949486782355251;0,0180866107068193;0,0184491892759673;0,0874466589054272;0,00014107944039585
"pro_ind";0,56985246340368;-2,18422110398815;0,920767564549863;1,24045459599829;-1,05490498086319;-0,409832140948557;0,192503651188941;-0,73785859415299;0,311047384113234;0,419041864691588;-0,356360766189596;-0,138446683262453;0,0969328302299461;0,604132390002639;0,0801182667793313;0,0932311167675477;0,0537314591246658;0,00721921708109614;0,00298822098222957;0,0439016707913093;0,00780167537042551;0,0141595547123634;0,0102403437805453;0,00154560986302885;0,00920211912024402;0,0865060447863518;6,88621792217095e-05
"nom_sup";-0,871842210645553;-2,62424493773903;-1,02195870571611;4,21951449326199;-3,23526628786611;4,21603147961803;-0,117840897069979;-0,354701084460616;-0,138131108106007;0,570322665058391;-0,437288625128749;0,569851890132264;0,0571543476148345;0,21967220733451;0,0248614051683571;0,271738743083577;0,127306174578341;0,192447917758926;0,00606232255326408;0,0549252436963569;0,00832971134029001;0,141999960045524;0,0834801692607254;0,14176562802964;0,00797559800931129;0,172358508879014;0,000236934723609456
"ver_sup";1,75556008367663;-0,438728516499253;-1,23083415776077;0,167072832518147;-3,61844988446402;-0,758742008850884;0,408311647326328;-0,102040348813173;-0,286269850410534;0,038858130862769;-0,841586253202489;-0,176469721777211;0,503702201890781;0,0133452609590757;0,0783839277910212;0,000925991996840607;0,346133387907417;0,013547612071008;0,0899907787448508;0,00562028503952014;0,0442349657127744;0,000815038803785842;0,382306549933018;0,0168095030693184;0,0291989083319955;0,116909080681379;0,000399082887229372
"num";-3,21355973288045;-1,53047093134084;-7,71058996725356;-0,0893914501019985;0,703056844008855;0,632192160180946;-0,376055742010952;-0,179098081116323;-0,902305191905891;-0,0104607260769385;0,0822728018541125;0,0739801066891189;0,332711943966337;0,0320139084098945;0,606396021905526;5,22565472176692e-05;0,00257592037232712;0,00185406898042014;0,101130989816059;0,0229383235788148;0,582219466403883;7,8253445566162e-05;0,00484052407776035;0,00391389991508257;0,00979290415797078;0,26331260726792;0,000678976605862903
"pro_per";1,11108058405469;-0,649735268745092;0,534752253341451;-0,681073814651701;-2,22729494594914;-2,32181863753596;0,311065252651641;-0,181904056671847;0,149712673571033;-0,190677797154828;-0,623567790702468;-0,650031250173355;0,330138597145033;0,0478928803931208;0,02421006296512;0,0251794743265528;0,214593499949066;0,207583967809603;0,012945503964951;0,00442691036419266;0,00299870049778127;0,00486425362953855;0,0520215524393463;0,0565307088515015;0,01048643441965;0,0913938305483067;8,75914277368684e-05
"adv_sup";0,17748563793324;0,550898695209731;-0,966766256910216;-0,800683755545261;1,70968136295386;-3,67654892273015;0,0414320453632986;0,128601164557873;-0,225680814957416;-0,186910704819315;0,39910607197037;-0,858249397082141;0,00816808139218675;0,0333833566205503;0,0767223824209671;0,0337418404889291;0,122597014750544;0,504668690349463;0,000620414398328909;0,00597721563718777;0,0184076523692347;0,0126263397598368;0,0575686163609249;0,26621721461825;0,0196949751163911;0,0928159597824023;0,000169668318710147
"adv";0,302474888590756;0,314835361888031;-0,637420118049694;2,84692551908573;0,567770961589678;-2,22469056561744;0,0809163927217122;0,0842229974987511;-0,170519069669327;0,761593613357712;0,151886916358645;-0,595136794100435;0,0327081104136661;0,0150326901253326;0,0459847494820895;0,588141903699624;0,0186414235172928;0,254769871869863;0,001917654930526;0,00207758510085488;0,00851615080496775;0,169880691926327;0,00675675488705771;0,103736367571084;0,020960025686306;0,0790462133622998;0,00013096460912725
"pro_dem";0,801460781470564;0,0519450150352437;-0,392257645561339;1,81643613525232;-1,26553428917772;-2,15457990631858;0,249216712189944;0,016152463303304;-0,121973729742328;0,564826441912701;-0,393521806686299;-0,66997329478555;0,176160759654506;0,000313924539170412;0,0133589691100626;0,183669903271954;0,0710474298656791;0,183316633122225;0,0041743294708379;1,75351677768877e-05;0,000999919429939577;0,0214418591507579;0,0104080652530395;0,0301680600262278;0,00649863541499438;0,0902499896401709;5,29317794677256e-05
"adj_num";-2,61259340060083;-8,06302620331825;5,84034666982221;9,6121346422028;5,50888883728882;-1,2302386380269;-0,172193648298509;-0,531426703426774;0,384931922500246;0,633527027817165;0,363085839053846;-0,0810839066312128;0,0957224357485961;0,386775647539827;0,151437290661008;0,263004324350958;0,0688420862669733;0,00305619354357632;0,0188475006521181;0,179517279619975;0,0941862203640549;0,255123113972253;0,0837988645066002;0,0041791584895973;0,00276127789372291;0,399102480799109;0,000439824047374548
"pro_pos";-1,8450840579177;-0,468659060053648;0,655462952363251;1,29656823231123;-0,864270228665923;-0,71595629699635;-0,697662632759213;-0,177209223775143;0,247843455727409;0,490257992650522;-0,326797600661602;-0,270717181127632;0,735186321556331;0,0201220409776981;0,0293729044648231;0,0736900695709352;0,0260927664473516;0,0159393339555402;0,0221016719715565;0,0014259583819595;0,00278926075082278;0,0109139904448874;0,00484944370825485;0,00332786608970956;0,00649221383849735;0,101703739063628;6,71531911732693e-05
"ono";-3,03666365328791;10,8540644843622;-6,82981542866791;2,55456366793967;14,1186784850178;-3,32171539205053;-0,15365419428092;0,5492121365539;-0,34558644176582;0,129260091650778;0,714400544353301;-0,168077719652432;0,0714093416254564;0,387025277457412;0,114357609608554;0,0102576580376681;0,24969259249365;0,0123032124249744;0,00307920346409629;0,0393395872415864;0,0155762510647799;0,00217910655158121;0,0665630327339335;0,00368442603037945;0,000333921977845561;0,537079590599267;9,6321292696679e-05
