"";"X.HDLENS2014";"X.HDLENS2015";"X.HDLENS2016";"X.HDLENS2017";"X.HDLENS2018";"X.HDLENS2019";"X.HDLENS2020";"X.HDLENS2021";"X.HDLENS2022";"X.HDLENS2023";"X.HDLENS2024"
"em";52;35,92;50,53;42,61;47,44;45,52;48,9;46,34;51,83;45,83;43,98
"âmbito";0,52;0;0;0,31;0,77;0,86;0,56;0,21;0,68;0,52;0,25
"internacional";2,08;0;0;0,61;0,96;0,22;0,34;0,41;0,88;0,13;0,3
"de";121,68;150,64;143,53;142,24;142,53;134,74;144,44;139,11;134,61;126,71;123,36
"humanidades_digitais";6,24;8,11;1,94;4,9;3,86;6,46;5,61;1,64;1,69;0,63;0,61
"existir";0,52;0;0,56;0;0,19;0,32;0,45;0;0,2;0,33;0,15
"uma";8,84;10,43;11,66;10,42;11,19;11,52;11,21;10,97;11,79;10,73;12,48
"importante";2,08;1,16;0,83;0;0,58;0,65;0,56;0,41;0,75;0,99;0,96
"discussão";3,12;1,16;0;1,53;0,58;0,54;1,01;1,33;0,88;0,81;0,46
"centrar";1,04;0;0;0;0,19;0;0,34;0,31;0;0,37;0,3
"torno";1,04;0;0,56;0,31;0;0,22;0,56;0,41;0,27;0,06;0,3
"estrutura";1,04;0;1,39;0,61;0,96;0,22;0,22;0,51;0,27;0,15;0,3
"dinâmico";1,04;0;0;0;0,19;0,43;0,11;0,1;0,2;0,26;0,25
"acadêmico";3,64;0;0,56;1,53;1,35;0,43;0,56;0,82;1,08;0,57;1,32
"institucional";2,08;2,32;0,28;0,31;0,77;0,65;0,34;0,1;0,34;0,11;0
"que";21,84;20,86;25,26;21,15;23,92;22,92;19,74;22,86;20,93;22,79;18,77
"favorecer";1,04;0;0;0,31;0,19;0,22;0,22;0,21;0,41;0,09;0,2
"país";2,08;0;0;0;0,19;1,08;1,12;0,1;0,61;0,5;0,76
"outro";4,16;1,16;1,39;0,61;1,35;2,48;1,79;2,26;1,69;1,8;1,27
"parte";2,08;2,32;1,39;0,92;1,35;0,97;1,23;1,64;0,75;0,9;1,07
"mundo";2,6;0;1,67;1,53;0,77;0,43;0,34;0,62;1,22;1,47;0,46
"um";13;15,06;10,27;8,28;7,52;9,36;9,87;9,23;8,4;8,38;8,57
"atual";1,04;1,16;0,28;2,15;0,96;0,75;0,56;0,31;0,88;0,37;0,81
"identificar";0,52;0;0,28;0,92;0,19;1,72;0,56;0,72;0,75;0,9;0,96
"digital";5,2;15,06;8,05;4,6;12,34;10,22;7,63;7,07;9,48;7,73;11,36
"trabalhar";1,04;0;0,56;0;0,19;0,32;0,22;0,41;0,2;0,15;0,15
"ir";3,64;3,48;6,66;5,21;1,93;3,23;4,37;6,05;7,11;6,06;5,88
"modelo";2,08;0;0,56;1,53;1,54;0,54;1,01;0,51;0,61;0,74;0,61
"contexto";2,08;3,48;1,94;2,15;4,05;1,94;1,23;1,23;2,03;2,14;2,33
"10";1,04;0;0,56;0,61;0;0;0,11;0,1;0,07;0,11;0,25
"2013";1,04;0;0;0,31;0;0,22;0,34;0;0,2;0,63;0,25
"ocorrer";1,56;0;0,28;0,31;0,19;0,11;0;0,31;0,47;0,24;0,2
"o";33,28;41,71;31,37;43,23;39,73;40,03;37,46;37,93;39,63;41,08;40,88
"dia";2,6;0;0,28;0;0,19;0,11;0,34;0,21;0,34;1,18;0,15
"evento";1,56;0;0,28;0,31;0,39;0;0,22;0,21;0,34;0,15;0,15
"impulsionar";0,52;0;0;0;0,19;0;0;0,1;0,07;0,02;0,36
"por";14,04;9,27;16,38;12,88;9,06;9,36;10,54;14,45;13,35;12,02;10,3
"instituição";1,04;1,16;1,11;2,15;0,77;0,65;0,79;1,23;0,54;0,94;0,3
"grupo";5,72;0;1,39;0,92;0,58;2,48;0,56;0,72;0,61;0,48;0,41
"trabalho";5,72;1,16;2,22;1,84;1,93;3,12;3,14;2,36;4,61;2,96;3,09
"buscar";2,08;0;1,67;2,15;1,54;0,65;0,45;0,51;0,95;1,25;0,91
"discurso";2,08;0;0,83;0,61;0,39;0,32;0,34;0,41;0,41;0,46;0,3
"a";65,52;50,98;67,46;69,59;55,74;55,21;60,22;61,3;60,63;55,2;67,21
"prático";3,12;1,16;1,39;1,84;2,31;3,98;2,36;2,56;2,51;2,38;3,5
"metodologia";1,56;0;0,56;3,07;1,16;0,54;1,01;0,72;1,08;1,36;2,64
"desenvolvido";0,52;2,32;0,28;0,61;0,58;0,75;0,45;1,03;0,41;0,18;0,25
"português";2,6;0;0;0;0,77;0,65;0,34;0,1;0,88;0,17;0,41
"artigo";4,16;6,95;4,16;6,74;3,86;4,09;3,59;5,95;4,81;2,08;4,41
"busca";2,08;2,32;2,22;2,15;2,12;1,08;0,9;2,05;1,49;0,98;0,61
"apresentar";6,24;3,48;3,33;3,68;3,28;2,69;2,13;3,49;3,25;2,1;1,78
"documentação";0,52;0;0;0;0,58;0,65;0;0,1;0,07;0,2;0
"para";8,32;18,54;10,83;10,73;13,31;15,82;12,78;14,66;15,51;15,78;16,94
"problematizar";0,52;0;0,28;0;0,39;0,32;0;0,21;0,2;0,07;0,15
"se";7,28;15,06;12,49;12,26;10,41;10,01;8,64;10,56;9,82;10,33;9,69
"ter";3,64;3,48;2,5;5,21;1,93;3,34;2,8;4,72;3,73;3,3;4,06
"distinto";0,52;0;0;0;0,19;0;0;0;0,14;0,07;0,1
"estudo";2,6;4,63;3,61;4,29;2,31;4,3;4,37;3,49;2,98;2,61;4,31
"caso";0,52;0;0,56;0,61;0,19;0,11;1,23;0,51;0,68;0,77;0,61
"cenário";1,04;0;0,28;0,92;0,39;0,22;0,34;1,44;0,47;0,2;0,91
"haver";1,04;0;1,94;1,23;0,39;0,43;1,01;0,92;0,68;1,31;0,66
"debate";3,12;0;0,83;0,61;0,39;0,22;0,45;0,62;0,95;0,48;0,41
"forma";2,08;2,32;3,33;3,07;4,05;2,04;2,69;2,46;3,18;3,26;1,72
"como";9,88;17,38;11,38;20,23;10,41;13,56;13,01;11,79;11,38;12,69;12,88
"humanidade";3,12;6,95;3,05;3,37;2,89;2,48;2,02;2,26;2,3;0,85;0,96
"língua";2,6;1,16;0;2,76;0,77;2,48;0,67;0,31;0,75;0,13;1,17
"inglês";1,56;2,32;0;1,53;0;0,86;0,34;0,31;0,14;0,06;0,41
"desafio";2,08;0;0,28;0,31;0,58;1,51;1,23;1,13;0,61;2,14;3,3
"ser";13;22,02;14,44;13,18;11,19;12,38;10,09;16,61;15,18;15,72;14,25
"identificação";1,04;0;0,28;0;0,19;0,32;0,11;0,41;0,34;0,2;0,25
"além";1,56;1,16;0,28;2,15;0,96;1,83;1,91;1,64;1,22;1,2;1,67
"intitular";0,52;0;0,28;0;0,19;0,22;0;0,21;0,14;0,35;0
"ele";2,08;1,16;0,83;0,92;0,19;1,29;0,9;0,51;1,15;1,1;0,76
"promover";1,04;0;0;1,23;0,96;0,86;0,11;0,41;0,41;0,68;2,13
"compor";0,52;0;0,28;0,92;0,19;0,65;0,22;0,51;0,27;0,31;0,15
"estar";2,6;1,16;2,22;2,45;1,54;1,51;1,23;1,03;1,76;2,45;1,37
"desenvolver";0,52;1,16;0,28;0,92;0,77;1,61;1,12;0,62;0,81;0,88;0,91
"este";5,2;2,32;3,61;5,21;3,47;2,91;2,02;3,79;4,13;3,09;3,65
"investigar";1,04;0;0,28;0,31;0,19;0,11;0,79;0,31;0,34;0,94;0,76
"dentro";1,04;2,32;1,94;2,15;0,96;0,75;0,45;0,31;0,34;0,79;0,3
"característica";1,04;2,32;0,56;1,23;0,39;0,54;0,56;0,21;0,54;0,39;0,46
"aquele";0,52;0;0,83;0;0;0,11;0,9;0,21;0,14;0,28;0,1
"pretender";2,6;0;1,67;0,31;0,19;0,11;0,56;0,72;0,95;0,13;0,2
"propor";1,04;0;0,83;0,61;0,19;0,86;0,9;0,82;0,27;0,46;0,3
"conceito";1,04;5,79;1,39;3,37;2,89;1,4;1,35;1,54;0,88;0,92;1,01
"teórico";1,56;2,32;1,11;0,92;1,93;1,51;1,91;1,03;1,02;1,29;1,37
"mais";2,08;2,32;3,33;3,99;4,44;3,77;4,49;3,08;2,57;3,06;3,91
"objetivo";0,52;0;0;0;0,39;0,22;0,22;0,21;1,08;1,07;0,51
"dois";3,64;2,32;1,94;1,84;1,16;0,54;0,9;1,23;0,81;0,44;0,3
"termo";2,6;1,16;0,56;0,61;0;0,54;0,22;0,31;0,27;0,42;0,91
"político";2,08;5,79;0,56;0,31;1,16;0,86;0,22;0,92;0,34;0,55;1,01
"oferecer";0,52;1,16;0;0,61;0,19;0,54;0,45;0,31;0,34;0,28;0,96
"seu";3,64;1,16;2,5;2,45;2,7;3,55;3,93;2,56;2,64;2,49;2,94
"título";0,52;0;0,28;0;0,39;0,22;0,11;0,1;0,27;0,04;0,05
"direito";2,6;0;1,39;2,15;0,96;0,86;0;2,36;2,78;1,18;1,07
"tratar";1,04;3,48;0,83;0,31;1,35;0,43;0,34;1,03;1,15;0,92;0,41
"uso";2,08;3,48;1,67;1,23;3,28;2,26;1,57;2,77;3,12;3,17;3,25
"política";2,08;0;0,83;0;0,77;0;0,67;0,72;0,34;0,28;0,71
"geral";2,08;2,32;1,11;0,92;1,35;0,97;1,12;0,72;0,61;0,94;1,01
"especialmente";1,04;0;0,28;0;0,39;0,22;0;0,31;0,27;0,37;0,66
