"";"X.HDLENS2014";"X.HDLENS2015";"X.HDLENS2016";"X.HDLENS2017";"X.HDLENS2018";"X.HDLENS2019";"X.HDLENS2020";"X.HDLENS2021";"X.HDLENS2022";"X.HDLENS2023";"X.HDLENS2024"
"em";1;-1;1;-1;1;-1;1;-1;3;-1;-2
"âmbito";1;-1;-1;-1;1;2;1;-1;1;1;-1
"internacional";5;-1;-1;1;2;-1;-1;1;4;-4;-1
"de";-1;2;2;2;2;1;4;2;1;-5;-4
"humanidades_digitais";5;5;-1;4;3;24;16;-1;-1;-20;-6
"existir";1;-1;1;-1;-1;1;1;-2;-1;1;-1
"uma";-1;-1;1;-1;-1;1;-1;-1;1;-1;2
"importante";2;1;-1;-2;-1;-1;-1;-1;-1;2;1
"discussão";4;1;-2;1;-1;-1;1;2;1;-1;-2
"centrar";2;-1;-1;-1;-1;-1;1;1;-2;2;1
"torno";2;-1;1;1;-1;-1;2;1;1;-4;1
"estrutura";2;-1;4;1;3;-1;-1;1;-1;-3;-1
"dinâmico";2;-1;-1;-1;-1;1;-1;-1;-1;1;1
"acadêmico";5;-1;-1;1;1;-1;-1;-1;1;-3;2
"institucional";7;4;1;1;2;2;1;-1;1;-3;-2
"que";1;-1;1;-1;1;1;-1;1;-1;2;-3
"favorecer";3;-1;-1;1;1;1;1;1;2;-2;1
"país";3;-1;-1;-1;-1;2;2;-2;1;-1;1
"outro";2;-1;-1;-1;-1;2;1;1;-1;1;-2
"parte";1;1;1;-1;1;-1;1;2;-1;-1;1
"mundo";2;-1;1;1;-1;-2;-2;-1;1;4;-3
"um";2;2;1;-1;-1;1;1;1;-1;-1;-1
"atual";1;1;-1;4;1;1;-1;-1;1;-3;1
"identificar";-1;-1;-1;1;-2;3;-1;-1;-1;1;1
"digital";-2;2;-1;-2;3;1;-1;-2;1;-3;5
"trabalhar";2;-1;1;-1;-1;1;1;1;-1;-1;-1
"ir";-1;-1;1;-1;-4;-3;-1;1;3;2;1
"modelo";2;-1;-1;2;2;-1;1;-1;-1;-1;-1
"contexto";-1;1;-1;1;3;-1;-2;-2;-1;1;1
"10";3;-1;2;2;-1;-1;-1;-1;-1;-1;1
"2013";1;-1;-1;-1;-1;-1;-1;-2;-1;4;-1
"ocorrer";4;-1;1;1;-1;-1;-1;1;2;-1;-1
"o";-1;1;-3;1;-1;1;-1;-1;-1;2;1
"dia";4;-1;-1;-1;-1;-2;-1;-2;-1;10;-3
"evento";5;-1;1;1;1;-1;1;-1;1;-1;-1
"impulsionar";2;-1;-1;-1;1;-1;-1;1;-1;-2;5
"por";1;-1;2;1;-2;-2;-1;2;2;1;-2
"instituição";1;1;1;3;-1;-1;-1;1;-1;1;-3
"grupo";15;-1;1;1;-1;10;-1;-1;-1;-3;-2
"trabalho";2;-1;-1;-1;-1;1;1;-1;4;-1;1
"buscar";1;-1;1;2;1;-1;-2;-2;-1;2;-1
"discurso";4;-1;1;1;-1;-1;-1;-1;-1;1;-1
"a";1;-1;2;2;-1;-2;1;1;1;-7;7
"prático";1;-1;-1;-1;-1;3;-1;-1;-1;-1;2
"metodologia";1;-1;-1;3;-1;-2;-1;-2;-1;-1;7
"desenvolvido";1;3;-1;1;1;2;1;4;1;-3;-1
"português";7;-1;-1;-1;1;1;-1;-1;4;-3;1
"artigo";1;2;1;3;1;1;1;5;3;-14;2
"busca";1;1;2;1;2;-1;-1;2;1;-2;-3
"apresentar";3;1;1;1;1;1;-1;2;2;-2;-2
"documentação";1;-1;-1;-1;2;4;-1;-1;-1;1;-2
"para";-2;1;-2;-2;-1;1;-2;-1;1;1;2
"problematizar";1;-1;1;-1;1;1;-1;1;1;-2;1
"se";-1;1;1;1;1;-1;-1;1;-1;1;-1
"ter";1;-1;-1;2;-2;-1;-1;2;1;-1;1
"distinto";2;-1;-1;-1;1;-1;-1;-1;1;-1;1
"estudo";-1;1;1;1;-1;2;2;1;-1;-4;3
"caso";-1;-1;-1;-1;-1;-2;2;-1;1;1;-1
"cenário";1;-1;-1;1;-1;-1;-1;6;-1;-4;3
"haver";1;-1;2;1;-1;-2;1;-1;-1;3;-1
"debate";6;-1;1;1;-1;-1;-1;1;2;-1;-1
"forma";-1;-1;1;1;2;-1;-1;-1;1;2;-3
"como";-1;1;-1;5;-1;1;1;-1;-1;1;1
"humanidade";2;5;2;2;2;2;1;2;2;-9;-2
"língua";3;1;-1;6;1;11;-1;-1;1;-11;3
"inglês";4;4;-1;5;-1;4;1;1;-1;-5;1
