"";"X.HDLENS2014";"X.HDLENS2015";"X.HDLENS2016";"X.HDLENS2017";"X.HDLENS2018";"X.HDLENS2019";"X.HDLENS2020";"X.HDLENS2021";"X.HDLENS2022";"X.HDLENS2023";"X.HDLENS2024"
"pre";-1;1;-1;-1;1;-1;1;2;2;1;-7
"nom";-1;-2;-1;-1;1;-1;1;1;-1;2;-2
"adj";1;-1;-2;-1;2;1;-2;-2;1;-2;10
"nr";-1;-1;4;2;-1;26;5;5;-1;-36;3
"ver";-1;-1;-1;1;1;-1;-2;-1;1;1;1
"art_def";-1;-1;-1;1;-1;-1;-1;-1;-1;-1;5
"conj";1;-1;1;-1;1;-1;-1;-2;-1;2;-1
"pro_rel";-1;-1;1;-1;1;1;-2;1;-1;3;-4
"pro_ind";1;-1;1;1;-1;-1;-1;1;1;1;-2
"nom_sup";2;4;1;-1;-1;-1;-1;1;4;-2;-1
"ver_sup";-1;1;1;-1;-3;-4;-6;1;-1;8;-1
"num";-1;4;-1;-3;-5;1;9;7;-1;-4;1
"pro_per";-1;1;1;1;-1;1;-2;-1;-1;3;-2
"adv_sup";-1;1;-2;2;-1;1;1;-1;-4;2;1
"adv";1;1;1;1;-2;-2;1;-2;-1;1;1
"pro_dem";1;-1;1;1;-2;-1;-1;-1;-1;1;1
"adj_num";5;1;6;2;1;-1;2;1;1;-4;-4
"pro_pos";1;1;1;1;-1;2;1;-1;1;-2;1
"ono";1;-1;-1;-1;-1;-1;2;-1;-2;-1;3
"pro_int";1;1;-1;-1;1;-1;-1;-1;1;1;2
"adj_sup";-1;3;1;-1;-1;-1;2;-1;-1;-1;2
"sw";-1;-1;4;-1;1;-1;-1;-1;-1;-1;1
"adj ";-1;-1;-1;-1;-1;4;-1;-1;-1;-1;1
